========================================================================================================================
  МУЛЬТИВАЛЮТНЫЙ МУЛЬТИТАЙМФРЕЙМ-АНАЛИЗ
  Биржа: binance | 442 монет | 2026-07-05 11:50:57
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Монета           5м    15м    30м     1ч     4ч     1д  Средняя Стакан  ИТОГО
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  0GUSDT       🟡60.2 🟡52.9 🔴46.4 🔴38.0 🔴41.9 🔴30.2    -0.2      🟢      🔴
  1000CATUSDT  🟡59.0 🟡52.6 🔴48.0 🟠47.0 🟢55.0 🔴46.6    +0.8      🔴      ⚪
  1000CHEEMSUSDT 🟢65.2 🟡59.5 🟡52.8 🟢50.5 🟢53.0 🔴43.7    +2.2      ⚪      🟢
  1000SATSUSDT 🟡60.5 🟡47.0 🔴39.0 🔴36.3 🟠44.2 🔴45.4    -0.3      ⚪      🔴
  1INCHUSDT    🟢63.7 🟡58.1 🟡50.2 🟠48.0 🟢56.4 🟡48.0    +2.2      🟢      🟢
  1MBABYDOGEUSDT 🟢70.0 🟡61.9 🟡56.9 🟢53.4 🟢58.5 🔴43.0    +2.0      ⚪      🟢
  2ZUSDT       🟡61.6 🟢55.9 🟢57.7 🟢64.4 🟢71.8 🟡50.5    +2.2      ⚪      🟢
  AAVEUSDT     🟢64.6 🟡55.0 🟡50.3 🟠49.2 🟢51.5 🟢58.8    +2.7      ⚪      🟢
  ACEUSDT      🟡56.5 🟡48.5 🔴41.0 🟠40.4 🟠51.0 🔴43.5    +0.7      🔴      ⚪
  ACHUSDT      🟢63.0 🟡53.7 🔴46.7 🟠45.3 🟡52.8 🔴35.4    +0.8      ⚪      ⚪
  ACMUSDT      🟠50.2 🟢57.0 🟢57.1 🟢56.9 🟡56.9 🔴44.6    +2.3      🟢      🟢
  ACTUSDT      🟡59.5 🟡48.5 🔴41.1 🔴41.5 🔴44.5 🔴46.2    +0.7      🟢      ⚪
  ACXUSDT      🟠42.3 🟠48.5 🟠50.7 🟢53.0 🟢57.0 🟢55.7    +1.5      ⚪      ⚪
  ADAUSDT      🟢56.8 🟢57.1 🟢56.1 🟢60.8 🟢76.6 🟡64.2    +2.3      ⚪      🟢
  ADXUSDT      🔴37.8 🔴40.0 🟠41.6 🟠42.1 🔴45.6 🔴42.5    -1.5      🔴      🔴
  AEURUSDT     🔴28.0 🔴36.0 🔴39.2 🟠43.0 🟠46.0 🔴44.0    -1.2      🟢      🔴
  AEVOUSDT     🟢64.3 🟡54.7 🟡48.9 🔴46.4 🟠50.2 🟡47.8    +1.5      ⚪      ⚪
  AGLDUSDT     🔴33.5 🔴37.9 🔴38.7 🔴38.5 🔴34.2 🔴43.1    -2.8      🔴     🔴🔴
  AIGENSYNUSDT 🟢55.1 🟢54.8 🟢55.1 🟡55.8 🟠47.8 🟡51.8    +2.5      🟢      🟢
  AIUSDT       🟡53.6 🔴47.9 🔴45.1 🔴42.9 🟠48.1 🔴48.9    -0.3      🔴      🔴
  AIXBTUSDT    🟡54.7 🔴45.3 🔴38.2 🟠38.2 🔴48.1 🔴40.1    -0.7      ⚪      🔴
  ALCXUSDT     🟡55.5 🟡51.9 🟡50.3 🔴47.1 🔴42.9 🔴34.8    +0.7      🔴      ⚪
  ALGOUSDT     🟡58.3 🟡50.4 🔴47.9 🟠48.4 🟢57.8 🔴47.4    +1.2      ⚪      ⚪
  ALICEUSDT    🟢63.1 🟢59.9 🟢56.0 🟢55.6 🟢57.2 🟡54.8    +3.7      ⚪      🟢
