Open_time,Open,High,Low,Close,Volume
2026-05-10 20:00:00,102.1,103.42,102.09,102.52,32640.3
2026-05-10 20:15:00,102.53,103.45,101.74,103.03,47099.1
2026-05-10 20:30:00,103.04,103.11,100.21,100.35,65507.2
2026-05-10 20:45:00,100.36,100.37,97.3,99.39,124398.8
2026-05-10 21:00:00,99.39,100.15,99.09,99.39,33944.5
2026-05-10 21:15:00,99.38,100.8,99.32,100.62,17170.1
2026-05-10 21:30:00,100.61,101.29,100.46,101.11,16377.8
2026-05-10 21:45:00,101.12,101.4,100.23,100.32,11269.2
2026-05-10 22:00:00,100.32,101.29,100.0,100.79,22755.7
2026-05-10 22:15:00,100.79,101.7,100.79,101.31,13986.9
2026-05-10 22:30:00,101.31,101.82,101.12,101.76,14892.1
2026-05-10 22:45:00,101.76,102.34,101.64,102.12,13777.4
2026-05-10 23:00:00,102.11,102.28,101.55,101.96,12972.8
2026-05-10 23:15:00,101.95,102.25,101.71,102.2,10954.2
2026-05-10 23:30:00,102.2,102.85,102.06,102.81,11394.1
2026-05-10 23:45:00,102.81,102.89,101.85,102.08,14017.0
2026-05-11 00:00:00,102.09,102.5,101.24,101.25,21460.3
2026-05-11 00:15:00,101.25,101.31,99.9,100.49,53045.3
2026-05-11 00:30:00,100.5,101.34,100.5,100.82,18010.3
2026-05-11 00:45:00,100.81,100.91,99.74,100.54,28616.3
2026-05-11 01:00:00,100.55,101.01,99.82,100.85,16233.5
2026-05-11 01:15:00,100.86,101.65,100.77,101.05,17543.8
2026-05-11 01:30:00,101.04,101.41,100.79,100.9,13104.3
2026-05-11 01:45:00,100.89,101.18,100.52,101.14,7951.8
2026-05-11 02:00:00,101.14,101.25,100.34,100.42,10921.6
2026-05-11 02:15:00,100.42,100.46,99.82,100.27,19722.3
2026-05-11 02:30:00,100.28,100.42,99.87,99.96,8013.8
2026-05-11 02:45:00,99.95,100.37,99.94,100.29,6474.9
2026-05-11 03:00:00,100.28,100.35,99.44,99.44,17948.9
2026-05-11 03:15:00,99.43,99.56,99.14,99.24,16187.7
2026-05-11 03:30:00,99.24,99.54,98.83,99.49,12122.9
2026-05-11 03:45:00,99.49,99.77,99.48,99.75,6353.5
2026-05-11 04:00:00,99.74,99.74,98.97,99.23,9501.0
2026-05-11 04:15:00,99.24,99.68,99.11,99.63,13231.1
2026-05-11 04:30:00,99.62,99.83,99.48,99.66,10176.0
2026-05-11 04:45:00,99.67,99.93,99.36,99.7,6462.3
2026-05-11 05:00:00,99.71,99.97,99.61,99.61,5255.1
2026-05-11 05:15:00,99.61,100.38,99.6,100.29,8283.1
2026-05-11 05:30:00,100.29,100.63,100.08,100.08,12690.9
2026-05-11 05:45:00,100.09,100.26,99.87,100.24,13560.7
2026-05-11 06:00:00,100.23,101.07,100.18,100.73,13753.9
2026-05-11 06:15:00,100.72,100.96,100.37,100.9,13791.6
2026-05-11 06:30:00,100.9,101.15,100.39,100.69,10704.6
2026-05-11 06:45:00,100.69,100.91,100.44,100.77,5856.2
2026-05-11 07:00:00,100.77,100.79,100.09,100.35,8179.2
2026-05-11 07:15:00,100.34,100.63,99.99,100.02,9241.9
2026-05-11 07:30:00,100.01,100.72,99.99,100.47,6109.4
2026-05-11 07:45:00,100.46,100.67,100.36,100.64,4262.5
2026-05-11 08:00:00,100.64,100.82,100.0,100.3,7792.7
2026-05-11 08:15:00,100.3,100.39,99.84,99.95,6672.4
2026-05-11 08:30:00,99.94,100.65,99.87,100.6,8441.7
2026-05-11 08:45:00,100.61,100.69,100.19,100.23,5119.2
2026-05-11 09:00:00,100.22,100.42,100.07,100.34,9816.9
2026-05-11 09:15:00,100.35,100.75,100.24,100.73,5461.5
2026-05-11 09:30:00,100.74,100.88,100.26,100.45,5219.9
2026-05-11 09:45:00,100.45,100.96,100.35,100.95,5560.5
2026-05-11 10:00:00,100.94,101.13,100.73,101.12,11195.2
2026-05-11 10:15:00,101.11,101.9,101.08,101.33,19856.2
2026-05-11 10:30:00,101.33,101.46,100.12,100.34,22732.5
2026-05-11 10:45:00,100.33,100.58,99.81,100.0,15512.8
2026-05-11 11:00:00,100.0,100.33,99.67,99.92,17809.3
2026-05-11 11:15:00,99.92,100.36,99.91,100.33,8226.7
2026-05-11 11:30:00,100.33,100.54,100.21,100.25,6097.1
2026-05-11 11:45:00,100.26,100.29,99.79,100.08,8836.6
2026-05-11 12:00:00,100.07,100.28,99.42,99.51,14447.4
2026-05-11 12:15:00,99.52,100.26,99.46,100.1,12224.8
2026-05-11 12:30:00,100.1,100.4,100.02,100.09,9906.1
2026-05-11 12:45:00,100.08,100.26,99.53,99.67,9162.8
2026-05-11 13:00:00,99.67,100.24,99.63,100.11,4705.2
2026-05-11 13:15:00,100.12,100.24,99.83,100.12,7272.7
2026-05-11 13:30:00,100.12,100.28,98.88,100.21,31332.5
2026-05-11 13:45:00,100.2,100.26,99.53,99.81,18747.7
2026-05-11 14:00:00,99.81,100.59,99.77,100.56,16336.3
2026-05-11 14:15:00,100.56,100.73,99.35,99.39,11852.6
2026-05-11 14:30:00,99.39,99.67,98.55,99.37,30715.2
2026-05-11 14:45:00,99.37,99.62,99.06,99.45,11078.0
2026-05-11 15:00:00,99.44,100.15,99.12,100.1,13195.2
2026-05-11 15:15:00,100.11,101.0,99.94,100.89,20616.9
2026-05-11 15:30:00,100.89,101.19,100.6,101.05,22439.7
2026-05-11 15:45:00,101.05,101.88,100.99,101.76,20299.9
2026-05-11 16:00:00,101.76,102.72,101.53,102.62,41510.5
2026-05-11 16:15:00,102.62,102.68,101.45,101.77,32733.5
2026-05-11 16:30:00,101.77,102.04,101.07,101.45,21189.0
2026-05-11 16:45:00,101.45,101.83,101.16,101.55,10082.9
2026-05-11 17:00:00,101.56,101.65,100.93,101.33,8951.5
2026-05-11 17:15:00,101.33,101.56,101.23,101.47,4493.9
2026-05-11 17:30:00,101.47,102.4,101.26,102.33,10517.4
2026-05-11 17:45:00,102.33,102.54,102.13,102.22,13021.4
