Open_time,Open,High,Low,Close,Volume
2026-06-09 23:30:00,6.632,6.637,6.61,6.63,68465.0
2026-06-09 23:45:00,6.63,6.648,6.623,6.634,41529.0
2026-06-10 00:00:00,6.635,6.671,6.635,6.662,115827.0
2026-06-10 00:15:00,6.662,6.673,6.643,6.669,64689.0
2026-06-10 00:30:00,6.669,6.669,6.593,6.602,213477.0
2026-06-10 00:45:00,6.603,6.666,6.6,6.662,162239.0
2026-06-10 01:00:00,6.663,6.675,6.64,6.654,112024.0
2026-06-10 01:15:00,6.655,6.668,6.638,6.644,106429.0
2026-06-10 01:30:00,6.645,6.656,6.615,6.627,71507.0
2026-06-10 01:45:00,6.627,6.65,6.62,6.628,67729.0
2026-06-10 02:00:00,6.629,6.647,6.622,6.623,65110.0
2026-06-10 02:15:00,6.623,6.625,6.588,6.609,122879.0
2026-06-10 02:30:00,6.61,6.616,6.559,6.567,168282.0
2026-06-10 02:45:00,6.566,6.572,6.551,6.562,84741.0
2026-06-10 03:00:00,6.562,6.591,6.55,6.572,124276.0
2026-06-10 03:15:00,6.572,6.605,6.565,6.597,60083.0
2026-06-10 03:30:00,6.597,6.597,6.57,6.578,68276.0
2026-06-10 03:45:00,6.579,6.588,6.57,6.577,40601.0
2026-06-10 04:00:00,6.578,6.587,6.568,6.582,52762.0
2026-06-10 04:15:00,6.582,6.589,6.574,6.576,36996.0
2026-06-10 04:30:00,6.576,6.576,6.533,6.533,148583.0
2026-06-10 04:45:00,6.533,6.549,6.527,6.544,93318.0
2026-06-10 05:00:00,6.545,6.561,6.527,6.53,110570.0
2026-06-10 05:15:00,6.53,6.53,6.482,6.507,324076.0
2026-06-10 05:30:00,6.507,6.516,6.489,6.508,88317.0
2026-06-10 05:45:00,6.507,6.521,6.496,6.509,74048.0
2026-06-10 06:00:00,6.51,6.524,6.492,6.51,76769.0
2026-06-10 06:15:00,6.509,6.522,6.503,6.512,77096.0
2026-06-10 06:30:00,6.513,6.544,6.491,6.536,129549.0
2026-06-10 06:45:00,6.535,6.546,6.519,6.522,79553.0
2026-06-10 07:00:00,6.522,6.554,6.519,6.547,82488.0
2026-06-10 07:15:00,6.546,6.574,6.545,6.564,107439.0
2026-06-10 07:30:00,6.564,6.58,6.551,6.565,70539.0
2026-06-10 07:45:00,6.565,6.572,6.554,6.559,76314.0
2026-06-10 08:00:00,6.559,6.56,6.511,6.516,175863.0
2026-06-10 08:15:00,6.516,6.536,6.505,6.51,94078.0
2026-06-10 08:30:00,6.511,6.523,6.429,6.445,624928.0
2026-06-10 08:45:00,6.445,6.469,6.437,6.465,192438.0
2026-06-10 09:00:00,6.466,6.485,6.454,6.455,157171.0
2026-06-10 09:15:00,6.454,6.476,6.424,6.473,204783.0
2026-06-10 09:30:00,6.473,6.493,6.469,6.478,168131.0
2026-06-10 09:45:00,6.478,6.504,6.46,6.487,93641.0
2026-06-10 10:00:00,6.488,6.491,6.447,6.458,176056.0
2026-06-10 10:15:00,6.457,6.469,6.432,6.466,139891.0
2026-06-10 10:30:00,6.467,6.492,6.464,6.475,94206.0
2026-06-10 10:45:00,6.476,6.498,6.473,6.495,85593.0
2026-06-10 11:00:00,6.495,6.503,6.414,6.462,349845.0
2026-06-10 11:15:00,6.462,6.473,6.412,6.428,178260.0
2026-06-10 11:30:00,6.428,6.453,6.424,6.446,98965.0
2026-06-10 11:45:00,6.445,6.473,6.441,6.457,100772.0
2026-06-10 12:00:00,6.456,6.481,6.432,6.469,124878.0
2026-06-10 12:15:00,6.469,6.482,6.439,6.477,92384.0
2026-06-10 12:30:00,6.477,6.597,6.468,6.549,598160.0
2026-06-10 12:45:00,6.55,6.57,6.535,6.535,135008.0
2026-06-10 13:00:00,6.536,6.552,6.521,6.54,140091.0
2026-06-10 13:15:00,6.541,6.548,6.524,6.544,88948.0
2026-06-10 13:30:00,6.543,6.656,6.532,6.654,436609.0
2026-06-10 13:45:00,6.655,6.661,6.586,6.593,257395.0
2026-06-10 14:00:00,6.594,6.606,6.552,6.555,245660.0
2026-06-10 14:15:00,6.556,6.565,6.516,6.546,221683.0
2026-06-10 14:30:00,6.547,6.568,6.516,6.538,153121.0
2026-06-10 14:45:00,6.539,6.55,6.503,6.55,169774.0
2026-06-10 15:00:00,6.55,6.581,6.496,6.513,276927.0
2026-06-10 15:15:00,6.513,6.576,6.501,6.563,162086.0
2026-06-10 15:30:00,6.563,6.593,6.552,6.59,156640.0
2026-06-10 15:45:00,6.59,6.613,6.51,6.574,425554.0
2026-06-10 16:00:00,6.574,6.578,6.533,6.538,197121.0
2026-06-10 16:15:00,6.539,6.559,6.499,6.527,157333.0
2026-06-10 16:30:00,6.527,6.548,6.507,6.511,178810.0
2026-06-10 16:45:00,6.511,6.511,6.452,6.5,276468.0
2026-06-10 17:00:00,6.5,6.53,6.473,6.484,169256.0
2026-06-10 17:15:00,6.484,6.51,6.453,6.456,129078.0
2026-06-10 17:30:00,6.457,6.465,6.426,6.439,280463.0
2026-06-10 17:45:00,6.44,6.494,6.435,6.486,202705.0
2026-06-10 18:00:00,6.486,6.507,6.479,6.488,205728.0
2026-06-10 18:15:00,6.488,6.528,6.472,6.528,192279.0
2026-06-10 18:30:00,6.529,6.529,6.478,6.488,183874.0
2026-06-10 18:45:00,6.489,6.532,6.475,6.532,306477.0
2026-06-10 19:00:00,6.532,6.533,6.487,6.49,213481.0
2026-06-10 19:15:00,6.49,6.503,6.453,6.476,192634.0
2026-06-10 19:30:00,6.476,6.501,6.471,6.487,182369.0
2026-06-10 19:45:00,6.487,6.489,6.439,6.457,239162.0
2026-06-10 20:00:00,6.457,6.473,6.43,6.462,206823.0
2026-06-10 20:15:00,6.462,6.479,6.434,6.47,192132.0
2026-06-10 20:30:00,6.469,6.472,6.442,6.442,103611.0
2026-06-10 20:45:00,6.443,6.452,6.416,6.438,159769.0
2026-06-10 21:00:00,6.437,6.438,6.351,6.372,447223.0
2026-06-10 21:15:00,6.372,6.392,6.362,6.381,141096.0
2026-06-10 21:30:00,6.381,6.394,6.373,6.392,86743.0
2026-06-10 21:45:00,6.392,6.397,6.292,6.335,330584.0
2026-06-10 22:00:00,6.335,6.34,6.307,6.331,187301.0
2026-06-10 22:15:00,6.33,6.347,6.308,6.331,182132.0
2026-06-10 22:30:00,6.33,6.387,6.329,6.374,368066.0
2026-06-10 22:45:00,6.374,6.374,6.325,6.328,140789.0
2026-06-10 23:00:00,6.328,6.334,6.311,6.318,123940.0
2026-06-10 23:15:00,6.317,6.383,6.301,6.381,174089.0
2026-06-10 23:30:00,6.381,6.394,6.36,6.387,103009.0
2026-06-10 23:45:00,6.387,6.404,6.372,6.376,158163.0
2026-06-11 00:00:00,6.377,6.412,6.376,6.41,122823.0
2026-06-11 00:15:00,6.411,6.448,6.41,6.431,141650.0
2026-06-11 00:30:00,6.431,6.44,6.414,6.421,85018.0
2026-06-11 00:45:00,6.422,6.439,6.418,6.429,43934.0
2026-06-11 01:00:00,6.429,6.472,6.429,6.462,188212.0
2026-06-11 01:15:00,6.462,6.479,6.46,6.467,78572.0
2026-06-11 01:30:00,6.467,6.512,6.456,6.505,195482.0
2026-06-11 01:45:00,6.505,6.519,6.492,6.496,133604.0
2026-06-11 02:00:00,6.496,6.505,6.47,6.477,114701.0
2026-06-11 02:15:00,6.477,6.484,6.449,6.455,79853.0
2026-06-11 02:30:00,6.455,6.469,6.439,6.464,71545.0
2026-06-11 02:45:00,6.463,6.493,6.45,6.478,65430.0
2026-06-11 03:00:00,6.478,6.485,6.452,6.464,46729.0
2026-06-11 03:15:00,6.463,6.485,6.463,6.485,35158.0
2026-06-11 03:30:00,6.485,6.53,6.482,6.504,192380.0
2026-06-11 03:45:00,6.504,6.635,6.504,6.591,951781.0
2026-06-11 04:00:00,6.592,6.599,6.569,6.58,270889.0
2026-06-11 04:15:00,6.581,6.595,6.578,6.583,90509.0
2026-06-11 04:30:00,6.584,6.6,6.566,6.599,108691.0
2026-06-11 04:45:00,6.599,6.626,6.596,6.601,157804.0
2026-06-11 05:00:00,6.602,6.602,6.572,6.582,102831.0
2026-06-11 05:15:00,6.582,6.598,6.572,6.58,81470.0
2026-06-11 05:30:00,6.581,6.588,6.572,6.588,41442.0
2026-06-11 05:45:00,6.588,6.591,6.56,6.563,65871.0
2026-06-11 06:00:00,6.563,6.577,6.542,6.573,278083.0
2026-06-11 06:15:00,6.574,6.604,6.574,6.595,90368.0
2026-06-11 06:30:00,6.595,6.605,6.588,6.593,62288.0
2026-06-11 06:45:00,6.594,6.598,6.571,6.572,93900.0
2026-06-11 07:00:00,6.571,6.586,6.567,6.581,73660.0
2026-06-11 07:15:00,6.581,6.604,6.58,6.6,82204.0
2026-06-11 07:30:00,6.601,6.607,6.568,6.571,81519.0
2026-06-11 07:45:00,6.572,6.588,6.57,6.587,73021.0
2026-06-11 08:00:00,6.588,6.613,6.581,6.608,118143.0
2026-06-11 08:15:00,6.608,6.627,6.602,6.626,98250.0
2026-06-11 08:30:00,6.627,6.639,6.613,6.616,131672.0
2026-06-11 08:45:00,6.616,6.63,6.605,6.609,94201.0
2026-06-11 09:00:00,6.609,6.61,6.561,6.562,168529.0
2026-06-11 09:15:00,6.561,6.561,6.536,6.551,244357.0
2026-06-11 09:30:00,6.551,6.576,6.551,6.56,68518.0
2026-06-11 09:45:00,6.56,6.585,6.556,6.574,73088.0
2026-06-11 10:00:00,6.573,6.584,6.55,6.563,94708.0
2026-06-11 10:15:00,6.563,6.568,6.545,6.56,59325.0
2026-06-11 10:30:00,6.561,6.569,6.553,6.559,84745.0
2026-06-11 10:45:00,6.56,6.581,6.554,6.571,100389.0
2026-06-11 11:00:00,6.571,6.587,6.551,6.585,113666.0
2026-06-11 11:15:00,6.585,6.589,6.565,6.577,54199.0
2026-06-11 11:30:00,6.578,6.587,6.563,6.579,56325.0
2026-06-11 11:45:00,6.579,6.62,6.577,6.595,148377.0
2026-06-11 12:00:00,6.594,6.596,6.572,6.581,115931.0
2026-06-11 12:15:00,6.581,6.591,6.491,6.522,424664.0
2026-06-11 12:30:00,6.521,6.557,6.503,6.55,316100.0
2026-06-11 12:45:00,6.55,6.558,6.531,6.551,152606.0
2026-06-11 13:00:00,6.551,6.557,6.534,6.553,74185.0
2026-06-11 13:15:00,6.554,6.574,6.542,6.553,94619.0
2026-06-11 13:30:00,6.552,6.571,6.529,6.57,135499.0
2026-06-11 13:45:00,6.57,6.608,6.568,6.58,253239.0
2026-06-11 14:00:00,6.581,6.594,6.539,6.541,138626.0
2026-06-11 14:15:00,6.541,6.553,6.515,6.549,159368.0
2026-06-11 14:30:00,6.549,6.579,6.537,6.56,101534.0
2026-06-11 14:45:00,6.561,6.585,6.537,6.537,97486.0
2026-06-11 15:00:00,6.538,6.558,6.503,6.541,276155.0
2026-06-11 15:15:00,6.541,6.564,6.53,6.556,98252.0
2026-06-11 15:30:00,6.555,6.571,6.531,6.535,91778.0
2026-06-11 15:45:00,6.536,6.543,6.518,6.541,74524.0
2026-06-11 16:00:00,6.54,6.557,6.532,6.555,103226.0
2026-06-11 16:15:00,6.555,6.557,6.513,6.522,167881.0
2026-06-11 16:30:00,6.522,6.545,6.503,6.523,98660.0
2026-06-11 16:45:00,6.523,6.527,6.506,6.511,94896.0
2026-06-11 17:00:00,6.51,6.524,6.486,6.489,156375.0
2026-06-11 17:15:00,6.49,6.573,6.469,6.571,345841.0
2026-06-11 17:30:00,6.569,6.652,6.569,6.642,699748.0
2026-06-11 17:45:00,6.643,6.686,6.622,6.667,434320.0
2026-06-11 18:00:00,6.667,6.69,6.626,6.659,301685.0
2026-06-11 18:15:00,6.659,6.679,6.624,6.631,249801.0
2026-06-11 18:30:00,6.632,6.667,6.629,6.662,117019.0
2026-06-11 18:45:00,6.661,6.667,6.641,6.646,97049.0
2026-06-11 19:00:00,6.646,6.665,6.628,6.646,140838.0
2026-06-11 19:15:00,6.646,6.666,6.641,6.651,83060.0
2026-06-11 19:30:00,6.65,6.705,6.65,6.672,269168.0
2026-06-11 19:45:00,6.671,6.674,6.656,6.663,91303.0
2026-06-11 20:00:00,6.664,6.674,6.652,6.656,90329.0
2026-06-11 20:15:00,6.656,6.666,6.611,6.616,220699.0
2026-06-11 20:30:00,6.616,6.623,6.601,6.605,193204.0
2026-06-11 20:45:00,6.605,6.629,6.605,6.629,43104.0
2026-06-11 21:00:00,6.629,6.668,6.627,6.661,137617.0
2026-06-11 21:15:00,6.66,6.661,6.641,6.644,46323.0
2026-06-11 21:30:00,6.644,6.653,6.641,6.649,41365.0
2026-06-11 21:45:00,6.649,6.659,6.636,6.646,55486.0
2026-06-11 22:00:00,6.646,6.663,6.64,6.649,70384.0
2026-06-11 22:15:00,6.65,6.658,6.641,6.658,48544.0
2026-06-11 22:30:00,6.658,6.674,6.633,6.636,89495.0
2026-06-11 22:45:00,6.636,6.655,6.628,6.641,66619.0
2026-06-11 23:00:00,6.641,6.641,6.621,6.632,74553.0
2026-06-11 23:15:00,6.633,6.643,6.626,6.627,41094.0
2026-06-11 23:30:00,6.627,6.668,6.626,6.652,82510.0
2026-06-11 23:45:00,6.652,6.655,6.631,6.645,75731.0
2026-06-12 00:00:00,6.645,6.662,6.631,6.651,94377.0
2026-06-12 00:15:00,6.651,6.657,6.638,6.653,46774.0
2026-06-12 00:30:00,6.653,6.663,6.644,6.649,31782.0
2026-06-12 00:45:00,6.649,6.65,6.633,6.634,35617.0
2026-06-12 01:00:00,6.634,6.637,6.615,6.629,68887.0
2026-06-12 01:15:00,6.628,6.635,6.596,6.611,81610.0
2026-06-12 01:30:00,6.612,6.619,6.603,6.611,48815.0
2026-06-12 01:45:00,6.611,6.627,6.61,6.625,43765.0
2026-06-12 02:00:00,6.625,6.667,6.625,6.657,81449.0
2026-06-12 02:15:00,6.656,6.659,6.638,6.649,48726.0
2026-06-12 02:30:00,6.649,6.673,6.648,6.673,49841.0
2026-06-12 02:45:00,6.672,6.673,6.65,6.655,37797.0
2026-06-12 03:00:00,6.655,6.661,6.645,6.654,67496.0
2026-06-12 03:15:00,6.653,6.656,6.633,6.647,45733.0
2026-06-12 03:30:00,6.647,6.661,6.633,6.644,50277.0
2026-06-12 03:45:00,6.643,6.655,6.641,6.655,34767.0
2026-06-12 04:00:00,6.655,6.655,6.635,6.64,55911.0
2026-06-12 04:15:00,6.64,6.675,6.639,6.671,148111.0
2026-06-12 04:30:00,6.672,6.687,6.658,6.668,53569.0
2026-06-12 04:45:00,6.669,6.671,6.657,6.658,43792.0
2026-06-12 05:00:00,6.658,6.66,6.626,6.631,78844.0
2026-06-12 05:15:00,6.632,6.647,6.632,6.633,36062.0
2026-06-12 05:30:00,6.633,6.639,6.607,6.621,119045.0
2026-06-12 05:45:00,6.622,6.628,6.606,6.612,48715.0
2026-06-12 06:00:00,6.612,6.62,6.584,6.589,139865.0
2026-06-12 06:15:00,6.59,6.592,6.561,6.567,107429.0
2026-06-12 06:30:00,6.567,6.567,6.523,6.537,196673.0
2026-06-12 06:45:00,6.538,6.556,6.538,6.54,124274.0
2026-06-12 07:00:00,6.541,6.568,6.541,6.547,143142.0
2026-06-12 07:15:00,6.548,6.561,6.541,6.548,73227.0
2026-06-12 07:30:00,6.549,6.559,6.544,6.551,90182.0
2026-06-12 07:45:00,6.552,6.579,6.544,6.565,103011.0
2026-06-12 08:00:00,6.566,6.595,6.561,6.583,119800.0
2026-06-12 08:15:00,6.584,6.634,6.583,6.619,157720.0
2026-06-12 08:30:00,6.619,6.623,6.595,6.598,104307.0
2026-06-12 08:45:00,6.598,6.621,6.596,6.618,65511.0
2026-06-12 09:00:00,6.618,6.626,6.608,6.62,85774.0
2026-06-12 09:15:00,6.62,6.645,6.618,6.642,92226.0
2026-06-12 09:30:00,6.642,6.654,6.638,6.653,114716.0
2026-06-12 09:45:00,6.653,6.663,6.64,6.641,111134.0
2026-06-12 10:00:00,6.641,6.658,6.636,6.645,73190.0
2026-06-12 10:15:00,6.645,6.65,6.609,6.62,107081.0
2026-06-12 10:30:00,6.62,6.647,6.62,6.633,67448.0
2026-06-12 10:45:00,6.632,6.643,6.626,6.631,61517.0
2026-06-12 11:00:00,6.631,6.655,6.629,6.649,63819.0
2026-06-12 11:15:00,6.65,6.654,6.638,6.645,47723.0
2026-06-12 11:30:00,6.646,6.647,6.625,6.64,78720.0
2026-06-12 11:45:00,6.641,6.649,6.629,6.632,55493.0
2026-06-12 12:00:00,6.633,6.647,6.618,6.631,77733.0
2026-06-12 12:15:00,6.632,6.638,6.61,6.613,68286.0
2026-06-12 12:30:00,6.612,6.63,6.601,6.612,121860.0
2026-06-12 12:45:00,6.611,6.631,6.601,6.611,107607.0
2026-06-12 13:00:00,6.611,6.617,6.589,6.607,92679.0
2026-06-12 13:15:00,6.607,6.615,6.577,6.59,117637.0
2026-06-12 13:30:00,6.591,6.6,6.521,6.547,445577.0
2026-06-12 13:45:00,6.547,6.556,6.514,6.537,253459.0
2026-06-12 14:00:00,6.537,6.576,6.53,6.572,280644.0
2026-06-12 14:15:00,6.571,6.598,6.55,6.596,156231.0
2026-06-12 14:30:00,6.596,6.632,6.581,6.588,225128.0
2026-06-12 14:45:00,6.588,6.669,6.583,6.662,280824.0
2026-06-12 15:00:00,6.662,6.692,6.642,6.691,258976.0
2026-06-12 15:15:00,6.692,6.695,6.644,6.646,201548.0
2026-06-12 15:30:00,6.647,6.655,6.606,6.619,223166.0
2026-06-12 15:45:00,6.619,6.621,6.54,6.546,335689.0
2026-06-12 16:00:00,6.546,6.598,6.515,6.587,324616.0
2026-06-12 16:15:00,6.587,6.596,6.561,6.583,117685.0
2026-06-12 16:30:00,6.584,6.613,6.574,6.594,113611.0
2026-06-12 16:45:00,6.595,6.619,6.591,6.617,92804.0
2026-06-12 17:00:00,6.618,6.648,6.611,6.619,165467.0
2026-06-12 17:15:00,6.619,6.619,6.585,6.598,100899.0
2026-06-12 17:30:00,6.599,6.612,6.591,6.6,62618.0
2026-06-12 17:45:00,6.601,6.607,6.585,6.59,61808.0
2026-06-12 18:00:00,6.591,6.602,6.552,6.57,176222.0
2026-06-12 18:15:00,6.57,6.585,6.558,6.583,77154.0
2026-06-12 18:30:00,6.584,6.612,6.574,6.603,82836.0
2026-06-12 18:45:00,6.603,6.609,6.579,6.58,43632.0
2026-06-12 19:00:00,6.58,6.61,6.58,6.606,57768.0
2026-06-12 19:15:00,6.607,6.611,6.59,6.6,63638.0
2026-06-12 19:30:00,6.6,6.624,6.583,6.601,108184.0
2026-06-12 19:45:00,6.602,6.606,6.575,6.582,80150.0
2026-06-12 20:00:00,6.582,6.597,6.568,6.596,115635.0
2026-06-12 20:15:00,6.596,6.596,6.581,6.594,44232.0
2026-06-12 20:30:00,6.595,6.603,6.584,6.587,44508.0
2026-06-12 20:45:00,6.588,6.589,6.566,6.576,54941.0
2026-06-12 21:00:00,6.577,6.59,6.564,6.586,78627.0
2026-06-12 21:15:00,6.587,6.599,6.587,6.589,33045.0
2026-06-12 21:30:00,6.59,6.597,6.586,6.591,27644.0
2026-06-12 21:45:00,6.592,6.592,6.548,6.56,68855.0
2026-06-12 22:00:00,6.561,6.57,6.548,6.568,69153.0
2026-06-12 22:15:00,6.569,6.585,6.564,6.577,52656.0
2026-06-12 22:30:00,6.578,6.583,6.561,6.562,58552.0
2026-06-12 22:45:00,6.563,6.568,6.556,6.566,28271.0
2026-06-12 23:00:00,6.566,6.566,6.544,6.554,51016.0
2026-06-12 23:15:00,6.554,6.558,6.533,6.546,76393.0
2026-06-12 23:30:00,6.546,6.561,6.537,6.549,42354.0
2026-06-12 23:45:00,6.549,6.572,6.549,6.567,38648.0
2026-06-13 00:00:00,6.567,6.577,6.553,6.575,72736.0
2026-06-13 00:15:00,6.575,6.582,6.564,6.565,42990.0
2026-06-13 00:30:00,6.565,6.583,6.562,6.571,39886.0
2026-06-13 00:45:00,6.571,6.591,6.567,6.58,55975.0
2026-06-13 01:00:00,6.581,6.603,6.576,6.6,65001.0
2026-06-13 01:15:00,6.6,6.605,6.586,6.6,62989.0
2026-06-13 01:30:00,6.601,6.633,6.597,6.612,124309.0
2026-06-13 01:45:00,6.612,6.624,6.611,6.615,39295.0
2026-06-13 02:00:00,6.616,6.622,6.607,6.608,46837.0
2026-06-13 02:15:00,6.607,6.609,6.594,6.601,45417.0
2026-06-13 02:30:00,6.602,6.612,6.592,6.596,38726.0
2026-06-13 02:45:00,6.597,6.604,6.585,6.599,35432.0
2026-06-13 03:00:00,6.6,6.613,6.597,6.597,42250.0
2026-06-13 03:15:00,6.598,6.599,6.565,6.579,83021.0
2026-06-13 03:30:00,6.579,6.594,6.575,6.592,55318.0
2026-06-13 03:45:00,6.593,6.609,6.591,6.591,47510.0
2026-06-13 04:00:00,6.592,6.6,6.567,6.579,65955.0
2026-06-13 04:15:00,6.578,6.596,6.575,6.582,29823.0
2026-06-13 04:30:00,6.583,6.611,6.581,6.606,41469.0
2026-06-13 04:45:00,6.606,6.618,6.584,6.584,60767.0
2026-06-13 05:00:00,6.585,6.616,6.582,6.602,76837.0
2026-06-13 05:15:00,6.602,6.605,6.582,6.583,55866.0
2026-06-13 05:30:00,6.583,6.602,6.578,6.591,69127.0
2026-06-13 05:45:00,6.591,6.592,6.562,6.586,60408.0
2026-06-13 06:00:00,6.587,6.598,6.577,6.584,66246.0
2026-06-13 06:15:00,6.584,6.592,6.566,6.591,92759.0
2026-06-13 06:30:00,6.592,6.615,6.586,6.605,93333.0
2026-06-13 06:45:00,6.606,6.64,6.605,6.63,163015.0
2026-06-13 07:00:00,6.63,6.644,6.612,6.634,115577.0
2026-06-13 07:15:00,6.635,6.685,6.631,6.671,239908.0
2026-06-13 07:30:00,6.671,6.673,6.644,6.652,137454.0
2026-06-13 07:45:00,6.652,6.672,6.65,6.662,121731.0
2026-06-13 08:00:00,6.662,6.679,6.655,6.664,111611.0
2026-06-13 08:15:00,6.664,6.672,6.644,6.656,67390.0
2026-06-13 08:30:00,6.656,6.67,6.652,6.658,50057.0
2026-06-13 08:45:00,6.657,6.66,6.647,6.656,39548.0
2026-06-13 09:00:00,6.657,6.666,6.646,6.658,41215.0
2026-06-13 09:15:00,6.658,6.668,6.647,6.653,29066.0
2026-06-13 09:30:00,6.654,6.658,6.644,6.651,32820.0
2026-06-13 09:45:00,6.651,6.656,6.645,6.649,38268.0
2026-06-13 10:00:00,6.648,6.66,6.639,6.65,85946.0
2026-06-13 10:15:00,6.65,6.652,6.639,6.644,48880.0
2026-06-13 10:30:00,6.644,6.651,6.637,6.643,66180.0
2026-06-13 10:45:00,6.643,6.65,6.625,6.641,53094.0
2026-06-13 11:00:00,6.641,6.666,6.637,6.659,85701.0
2026-06-13 11:15:00,6.66,6.675,6.66,6.669,102090.0
2026-06-13 11:30:00,6.669,6.669,6.653,6.656,48937.0
2026-06-13 11:45:00,6.655,6.672,6.654,6.67,32005.0
2026-06-13 12:00:00,6.67,6.675,6.662,6.67,55291.0
2026-06-13 12:15:00,6.67,6.682,6.665,6.667,80979.0
2026-06-13 12:30:00,6.667,6.674,6.658,6.661,48386.0
2026-06-13 12:45:00,6.662,6.692,6.661,6.675,98294.0
2026-06-13 13:00:00,6.675,6.676,6.661,6.667,83471.0
2026-06-13 13:15:00,6.667,6.678,6.663,6.675,56603.0
2026-06-13 13:30:00,6.676,6.682,6.658,6.671,99621.0
2026-06-13 13:45:00,6.672,6.679,6.658,6.671,78060.0
2026-06-13 14:00:00,6.672,6.689,6.668,6.681,104694.0
2026-06-13 14:15:00,6.681,6.691,6.67,6.678,50045.0
2026-06-13 14:30:00,6.677,6.681,6.663,6.667,110701.0
2026-06-13 14:45:00,6.667,6.686,6.667,6.686,47746.0
2026-06-13 15:00:00,6.687,6.726,6.678,6.712,248030.0
2026-06-13 15:15:00,6.713,6.745,6.712,6.741,174169.0
2026-06-13 15:30:00,6.741,6.758,6.726,6.733,286208.0
2026-06-13 15:45:00,6.734,6.757,6.727,6.749,116609.0
2026-06-13 16:00:00,6.749,6.77,6.713,6.721,328753.0
2026-06-13 16:15:00,6.721,6.722,6.671,6.686,276574.0
2026-06-13 16:30:00,6.685,6.704,6.675,6.701,84570.0
2026-06-13 16:45:00,6.702,6.72,6.679,6.711,145400.0
2026-06-13 17:00:00,6.712,6.714,6.684,6.692,77202.0
2026-06-13 17:15:00,6.693,6.717,6.688,6.716,42300.0
2026-06-13 17:30:00,6.717,6.722,6.706,6.72,62042.0
2026-06-13 17:45:00,6.721,6.723,6.676,6.691,105104.0
2026-06-13 18:00:00,6.691,6.706,6.689,6.7,42704.0
2026-06-13 18:15:00,6.7,6.71,6.688,6.705,36702.0
2026-06-13 18:30:00,6.706,6.716,6.698,6.713,84097.0
2026-06-13 18:45:00,6.714,6.716,6.684,6.702,64700.0
2026-06-13 19:00:00,6.702,6.707,6.694,6.702,29001.0
2026-06-13 19:15:00,6.703,6.704,6.687,6.695,62197.0
2026-06-13 19:30:00,6.696,6.725,6.69,6.723,80450.0
2026-06-13 19:45:00,6.724,6.729,6.707,6.71,42559.0
2026-06-13 20:00:00,6.71,6.716,6.696,6.707,60319.0
2026-06-13 20:15:00,6.707,6.712,6.696,6.698,41718.0
2026-06-13 20:30:00,6.699,6.708,6.693,6.703,38668.0
2026-06-13 20:45:00,6.704,6.718,6.7,6.715,38378.0
2026-06-13 21:00:00,6.716,6.721,6.7,6.7,43751.0
2026-06-13 21:15:00,6.701,6.711,6.697,6.701,38927.0
2026-06-13 21:30:00,6.702,6.772,6.699,6.752,104993.0
2026-06-13 21:45:00,6.753,6.766,6.741,6.746,109301.0
2026-06-13 22:00:00,6.747,6.749,6.731,6.735,74224.0
