Open_time,Open,High,Low,Close,Volume
2026-06-09 23:30:00,7.813,7.827,7.796,7.821,52383.3
2026-06-09 23:45:00,7.822,7.847,7.816,7.835,35577.87
2026-06-10 00:00:00,7.836,7.868,7.835,7.856,87404.72
2026-06-10 00:15:00,7.855,7.857,7.833,7.849,34533.12
2026-06-10 00:30:00,7.85,7.854,7.776,7.784,190322.49
2026-06-10 00:45:00,7.784,7.865,7.783,7.86,94308.6
2026-06-10 01:00:00,7.861,7.871,7.829,7.849,92869.57
2026-06-10 01:15:00,7.849,7.863,7.831,7.836,50346.49
2026-06-10 01:30:00,7.836,7.844,7.777,7.785,68847.09
2026-06-10 01:45:00,7.785,7.822,7.783,7.802,80110.38
2026-06-10 02:00:00,7.802,7.816,7.78,7.78,68471.67
2026-06-10 02:15:00,7.781,7.783,7.742,7.77,92051.07
2026-06-10 02:30:00,7.77,7.777,7.721,7.729,103386.63
2026-06-10 02:45:00,7.729,7.729,7.711,7.718,74846.64
2026-06-10 03:00:00,7.718,7.752,7.714,7.733,70776.83
2026-06-10 03:15:00,7.734,7.765,7.728,7.761,41873.41
2026-06-10 03:30:00,7.761,7.762,7.736,7.747,46384.45
2026-06-10 03:45:00,7.747,7.756,7.74,7.744,19423.7
2026-06-10 04:00:00,7.745,7.751,7.727,7.74,49301.34
2026-06-10 04:15:00,7.74,7.745,7.728,7.73,41486.39
2026-06-10 04:30:00,7.731,7.736,7.691,7.696,85898.13
2026-06-10 04:45:00,7.697,7.711,7.686,7.702,72882.07
2026-06-10 05:00:00,7.703,7.715,7.686,7.689,59342.52
2026-06-10 05:15:00,7.689,7.697,7.652,7.697,176522.37
2026-06-10 05:30:00,7.698,7.704,7.674,7.685,49905.95
2026-06-10 05:45:00,7.685,7.705,7.672,7.695,58468.76
2026-06-10 06:00:00,7.695,7.717,7.681,7.704,83864.8
2026-06-10 06:15:00,7.703,7.719,7.694,7.701,44967.9
2026-06-10 06:30:00,7.701,7.726,7.671,7.713,111521.41
2026-06-10 06:45:00,7.714,7.725,7.706,7.716,47022.25
2026-06-10 07:00:00,7.716,7.758,7.714,7.753,62232.57
2026-06-10 07:15:00,7.754,7.79,7.748,7.77,151770.4
2026-06-10 07:30:00,7.77,7.804,7.761,7.786,65541.46
2026-06-10 07:45:00,7.786,7.79,7.773,7.776,59441.62
2026-06-10 08:00:00,7.777,7.778,7.734,7.749,87378.63
2026-06-10 08:15:00,7.75,7.775,7.721,7.723,96642.71
2026-06-10 08:30:00,7.723,7.737,7.66,7.666,458696.57
2026-06-10 08:45:00,7.666,7.676,7.652,7.672,156587.49
2026-06-10 09:00:00,7.672,7.683,7.65,7.653,223036.4
2026-06-10 09:15:00,7.654,7.675,7.618,7.667,263220.65
2026-06-10 09:30:00,7.667,7.685,7.663,7.666,78009.55
2026-06-10 09:45:00,7.667,7.709,7.649,7.694,89657.79
2026-06-10 10:00:00,7.695,7.698,7.651,7.665,69617.62
2026-06-10 10:15:00,7.665,7.683,7.643,7.68,104373.94
2026-06-10 10:30:00,7.681,7.706,7.676,7.683,60456.93
2026-06-10 10:45:00,7.684,7.702,7.678,7.691,54835.84
2026-06-10 11:00:00,7.692,7.7,7.613,7.653,346355.27
2026-06-10 11:15:00,7.653,7.662,7.607,7.628,149517.0
2026-06-10 11:30:00,7.628,7.657,7.617,7.647,73942.51
2026-06-10 11:45:00,7.648,7.665,7.638,7.642,88309.41
2026-06-10 12:00:00,7.643,7.673,7.623,7.656,105260.25
2026-06-10 12:15:00,7.656,7.67,7.63,7.653,124558.7
2026-06-10 12:30:00,7.653,7.815,7.645,7.754,700465.38
2026-06-10 12:45:00,7.755,7.773,7.731,7.731,110067.51
2026-06-10 13:00:00,7.731,7.748,7.72,7.738,149770.42
2026-06-10 13:15:00,7.739,7.761,7.727,7.752,75560.33
2026-06-10 13:30:00,7.752,7.898,7.742,7.895,482891.98
2026-06-10 13:45:00,7.894,7.897,7.815,7.819,286860.65
2026-06-10 14:00:00,7.82,7.828,7.776,7.78,161897.17
2026-06-10 14:15:00,7.781,7.798,7.737,7.771,169737.13
2026-06-10 14:30:00,7.771,7.796,7.734,7.761,168421.65
2026-06-10 14:45:00,7.76,7.77,7.721,7.77,147451.97
2026-06-10 15:00:00,7.771,7.809,7.708,7.734,300850.59
2026-06-10 15:15:00,7.734,7.814,7.721,7.801,112338.16
2026-06-10 15:30:00,7.8,7.819,7.766,7.803,114451.2
2026-06-10 15:45:00,7.803,7.838,7.734,7.802,371315.96
2026-06-10 16:00:00,7.803,7.82,7.767,7.77,188133.9
2026-06-10 16:15:00,7.771,7.792,7.723,7.76,108674.52
2026-06-10 16:30:00,7.76,7.779,7.729,7.743,76850.27
2026-06-10 16:45:00,7.743,7.743,7.691,7.726,127305.3
2026-06-10 17:00:00,7.726,7.755,7.7,7.709,91118.56
2026-06-10 17:15:00,7.709,7.731,7.672,7.676,85523.41
2026-06-10 17:30:00,7.677,7.684,7.64,7.645,264223.66
2026-06-10 17:45:00,7.646,7.694,7.642,7.679,159568.54
2026-06-10 18:00:00,7.68,7.697,7.641,7.661,143676.59
2026-06-10 18:15:00,7.661,7.674,7.634,7.673,151328.9
2026-06-10 18:30:00,7.673,7.677,7.616,7.624,140381.25
2026-06-10 18:45:00,7.625,7.657,7.598,7.655,241903.11
2026-06-10 19:00:00,7.655,7.664,7.622,7.628,99601.66
2026-06-10 19:15:00,7.628,7.64,7.596,7.624,97445.13
2026-06-10 19:30:00,7.625,7.655,7.618,7.633,75842.81
2026-06-10 19:45:00,7.633,7.635,7.592,7.614,135540.7
2026-06-10 20:00:00,7.613,7.621,7.572,7.603,165401.35
2026-06-10 20:15:00,7.603,7.632,7.589,7.619,94925.08
2026-06-10 20:30:00,7.619,7.621,7.595,7.595,95203.82
2026-06-10 20:45:00,7.595,7.601,7.565,7.593,178144.7
2026-06-10 21:00:00,7.592,7.595,7.516,7.53,211169.74
2026-06-10 21:15:00,7.53,7.559,7.49,7.552,316949.75
2026-06-10 21:30:00,7.552,7.562,7.536,7.556,78348.85
2026-06-10 21:45:00,7.557,7.56,7.476,7.51,187261.68
2026-06-10 22:00:00,7.511,7.522,7.487,7.516,143572.4
2026-06-10 22:15:00,7.515,7.528,7.488,7.515,143055.8
2026-06-10 22:30:00,7.515,7.574,7.514,7.554,392541.09
2026-06-10 22:45:00,7.554,7.556,7.529,7.531,70114.24
2026-06-10 23:00:00,7.532,7.534,7.511,7.513,101948.97
2026-06-10 23:15:00,7.513,7.576,7.5,7.571,207436.48
2026-06-10 23:30:00,7.571,7.578,7.547,7.568,82785.89
2026-06-10 23:45:00,7.569,7.579,7.555,7.556,69166.85
2026-06-11 00:00:00,7.557,7.591,7.556,7.589,95016.8
2026-06-11 00:15:00,7.59,7.628,7.59,7.612,142730.18
2026-06-11 00:30:00,7.612,7.617,7.588,7.591,57248.11
2026-06-11 00:45:00,7.592,7.621,7.592,7.608,61883.9
2026-06-11 01:00:00,7.608,7.665,7.608,7.66,116950.27
2026-06-11 01:15:00,7.66,7.675,7.654,7.667,98606.81
2026-06-11 01:30:00,7.668,7.724,7.659,7.705,215804.47
2026-06-11 01:45:00,7.704,7.714,7.693,7.698,114499.27
2026-06-11 02:00:00,7.699,7.707,7.666,7.676,65804.42
2026-06-11 02:15:00,7.676,7.687,7.651,7.653,73415.41
2026-06-11 02:30:00,7.654,7.658,7.627,7.653,81232.05
2026-06-11 02:45:00,7.653,7.687,7.641,7.67,84781.25
2026-06-11 03:00:00,7.67,7.682,7.655,7.664,38612.28
2026-06-11 03:15:00,7.664,7.678,7.657,7.673,40561.4
2026-06-11 03:30:00,7.673,7.734,7.673,7.709,178344.72
2026-06-11 03:45:00,7.709,7.828,7.709,7.797,721044.95
2026-06-11 04:00:00,7.798,7.803,7.776,7.789,213611.87
2026-06-11 04:15:00,7.789,7.799,7.779,7.779,63938.81
2026-06-11 04:30:00,7.78,7.798,7.77,7.796,71065.9
2026-06-11 04:45:00,7.797,7.818,7.789,7.795,99743.67
2026-06-11 05:00:00,7.795,7.796,7.764,7.78,105545.78
2026-06-11 05:15:00,7.78,7.793,7.762,7.771,45493.02
2026-06-11 05:30:00,7.771,7.787,7.76,7.787,46770.96
2026-06-11 05:45:00,7.787,7.789,7.758,7.758,57838.43
2026-06-11 06:00:00,7.759,7.777,7.739,7.774,248735.87
2026-06-11 06:15:00,7.775,7.805,7.773,7.794,117034.95
2026-06-11 06:30:00,7.794,7.802,7.779,7.784,46910.21
2026-06-11 06:45:00,7.785,7.789,7.76,7.765,34403.81
2026-06-11 07:00:00,7.764,7.772,7.751,7.763,79258.82
2026-06-11 07:15:00,7.762,7.786,7.76,7.783,38900.6
2026-06-11 07:30:00,7.784,7.788,7.75,7.757,52559.65
2026-06-11 07:45:00,7.757,7.768,7.756,7.768,27650.06
2026-06-11 08:00:00,7.768,7.796,7.768,7.789,109949.78
2026-06-11 08:15:00,7.789,7.83,7.785,7.83,92529.63
2026-06-11 08:30:00,7.83,7.843,7.814,7.818,110749.41
2026-06-11 08:45:00,7.818,7.832,7.815,7.823,46071.07
2026-06-11 09:00:00,7.823,7.831,7.79,7.797,101015.04
2026-06-11 09:15:00,7.796,7.796,7.779,7.786,56074.07
2026-06-11 09:30:00,7.785,7.803,7.783,7.79,57193.77
2026-06-11 09:45:00,7.79,7.813,7.788,7.798,53395.0
2026-06-11 10:00:00,7.798,7.807,7.785,7.794,44883.18
