Open_time,Open,High,Low,Close,Volume
2026-05-10 20:00:00,1.622,1.631,1.612,1.612,1637019.0
2026-05-10 20:15:00,1.612,1.614,1.594,1.601,2160274.0
2026-05-10 20:30:00,1.6,1.6,1.565,1.567,3352073.0
2026-05-10 20:45:00,1.568,1.569,1.534,1.547,5708252.0
2026-05-10 21:00:00,1.547,1.558,1.536,1.539,1603014.0
2026-05-10 21:15:00,1.539,1.554,1.539,1.554,1130885.0
2026-05-10 21:30:00,1.554,1.561,1.551,1.555,725331.0
2026-05-10 21:45:00,1.555,1.559,1.543,1.543,725885.0
2026-05-10 22:00:00,1.543,1.562,1.538,1.557,1616555.0
2026-05-10 22:15:00,1.557,1.58,1.556,1.577,1136403.0
2026-05-10 22:30:00,1.577,1.587,1.571,1.58,1033829.0
2026-05-10 22:45:00,1.579,1.588,1.579,1.581,554069.0
2026-05-10 23:00:00,1.58,1.583,1.573,1.579,727992.0
2026-05-10 23:15:00,1.579,1.58,1.567,1.572,643369.0
2026-05-10 23:30:00,1.571,1.575,1.568,1.571,545733.0
2026-05-10 23:45:00,1.571,1.574,1.56,1.563,1076932.0
2026-05-11 00:00:00,1.563,1.57,1.559,1.565,877952.0
2026-05-11 00:15:00,1.565,1.567,1.555,1.561,918842.0
2026-05-11 00:30:00,1.561,1.568,1.549,1.554,925401.0
2026-05-11 00:45:00,1.555,1.557,1.545,1.551,701783.0
2026-05-11 01:00:00,1.552,1.557,1.544,1.553,626481.0
2026-05-11 01:15:00,1.554,1.555,1.549,1.549,286249.0
2026-05-11 01:30:00,1.55,1.553,1.542,1.546,985321.0
2026-05-11 01:45:00,1.546,1.552,1.543,1.55,682058.0
2026-05-11 02:00:00,1.55,1.552,1.537,1.54,559687.0
2026-05-11 02:15:00,1.541,1.541,1.531,1.533,1309290.0
2026-05-11 02:30:00,1.534,1.535,1.525,1.53,1680037.0
2026-05-11 02:45:00,1.529,1.535,1.529,1.532,521617.0
2026-05-11 03:00:00,1.532,1.533,1.524,1.525,910857.0
2026-05-11 03:15:00,1.524,1.527,1.52,1.526,992076.0
2026-05-11 03:30:00,1.526,1.529,1.52,1.529,1104103.0
2026-05-11 03:45:00,1.529,1.532,1.526,1.528,426993.0
2026-05-11 04:00:00,1.528,1.528,1.515,1.521,1024958.0
2026-05-11 04:15:00,1.52,1.524,1.517,1.521,928190.0
2026-05-11 04:30:00,1.52,1.525,1.52,1.524,451554.0
2026-05-11 04:45:00,1.524,1.53,1.522,1.528,503207.0
2026-05-11 05:00:00,1.527,1.531,1.527,1.527,283113.0
2026-05-11 05:15:00,1.528,1.535,1.528,1.535,382024.0
2026-05-11 05:30:00,1.534,1.543,1.534,1.538,760147.0
2026-05-11 05:45:00,1.537,1.543,1.535,1.542,384224.0
2026-05-11 06:00:00,1.541,1.545,1.538,1.542,496561.0
2026-05-11 06:15:00,1.542,1.548,1.54,1.546,256331.0
2026-05-11 06:30:00,1.546,1.548,1.539,1.543,393498.0
2026-05-11 06:45:00,1.542,1.543,1.537,1.539,551016.0
2026-05-11 07:00:00,1.538,1.539,1.533,1.537,365853.0
2026-05-11 07:15:00,1.538,1.54,1.535,1.536,410803.0
2026-05-11 07:30:00,1.536,1.556,1.536,1.55,1343594.0
2026-05-11 07:45:00,1.55,1.563,1.549,1.559,1340344.0
