Open_time,Open,High,Low,Close,Volume
2026-06-09 23:30:00,64.87,64.95,64.64,64.9,160686.23
2026-06-09 23:45:00,64.91,65.08,64.8,64.92,108255.19
2026-06-10 00:00:00,64.93,65.19,64.91,65.07,152730.93
2026-06-10 00:15:00,65.07,65.09,64.81,65.04,93558.49
2026-06-10 00:30:00,65.05,65.07,64.44,64.52,265064.14
2026-06-10 00:45:00,64.53,65.16,64.49,65.15,203637.72
2026-06-10 01:00:00,65.15,65.24,64.83,65.06,219473.43
2026-06-10 01:15:00,65.07,65.27,65.0,65.15,138515.5
2026-06-10 01:30:00,65.14,65.19,64.76,64.87,123784.97
2026-06-10 01:45:00,64.86,65.23,64.81,65.06,128429.25
2026-06-10 02:00:00,65.06,65.21,64.83,64.85,161888.73
2026-06-10 02:15:00,64.84,64.89,64.48,64.69,254971.5
2026-06-10 02:30:00,64.69,64.76,64.29,64.37,266911.91
2026-06-10 02:45:00,64.37,64.38,64.2,64.27,141788.67
2026-06-10 03:00:00,64.26,64.65,64.23,64.47,136881.43
2026-06-10 03:15:00,64.46,64.82,64.43,64.77,97303.44
2026-06-10 03:30:00,64.77,64.78,64.47,64.56,86054.6
2026-06-10 03:45:00,64.56,64.7,64.4,64.48,102458.92
2026-06-10 04:00:00,64.47,64.54,64.34,64.48,84232.03
2026-06-10 04:15:00,64.48,64.62,64.38,64.45,70820.82
2026-06-10 04:30:00,64.45,64.46,64.11,64.15,194937.81
2026-06-10 04:45:00,64.14,64.31,64.08,64.25,109035.86
2026-06-10 05:00:00,64.26,64.35,64.03,64.08,137878.79
2026-06-10 05:15:00,64.07,64.16,63.87,64.16,195312.19
2026-06-10 05:30:00,64.16,64.2,63.96,64.07,113756.85
2026-06-10 05:45:00,64.06,64.15,63.93,64.09,120696.26
2026-06-10 06:00:00,64.09,64.13,63.87,63.99,129331.01
2026-06-10 06:15:00,63.98,64.19,63.95,64.06,126453.62
2026-06-10 06:30:00,64.07,64.32,63.78,64.19,207385.7
2026-06-10 06:45:00,64.18,64.33,64.13,64.15,113296.04
2026-06-10 07:00:00,64.15,64.44,64.09,64.35,141841.05
2026-06-10 07:15:00,64.36,64.57,64.33,64.48,193206.16
2026-06-10 07:30:00,64.49,64.74,64.4,64.58,215176.79
2026-06-10 07:45:00,64.59,64.6,64.43,64.45,158200.7
2026-06-10 08:00:00,64.46,64.48,63.98,64.06,267671.0
2026-06-10 08:15:00,64.07,64.25,63.75,63.81,269139.41
2026-06-10 08:30:00,63.81,63.9,63.46,63.5,480936.76
2026-06-10 08:45:00,63.5,63.66,63.37,63.58,287251.75
2026-06-10 09:00:00,63.58,63.72,63.39,63.41,203292.12
2026-06-10 09:15:00,63.42,63.49,63.02,63.45,495274.65
2026-06-10 09:30:00,63.45,63.7,63.4,63.54,207072.92
2026-06-10 09:45:00,63.53,63.69,63.35,63.6,147149.1
2026-06-10 10:00:00,63.61,63.64,63.33,63.41,140837.69
