Open_time,Open,High,Low,Close,Volume
2026-06-09 23:30:00,2.474,2.478,2.468,2.476,58206.0
2026-06-09 23:45:00,2.476,2.481,2.471,2.476,66167.0
2026-06-10 00:00:00,2.477,2.489,2.477,2.483,195081.0
2026-06-10 00:15:00,2.484,2.484,2.475,2.483,103465.0
2026-06-10 00:30:00,2.483,2.484,2.46,2.463,161956.0
2026-06-10 00:45:00,2.463,2.492,2.461,2.491,188638.0
2026-06-10 01:00:00,2.491,2.495,2.481,2.489,141664.0
2026-06-10 01:15:00,2.489,2.495,2.479,2.481,115542.0
2026-06-10 01:30:00,2.482,2.483,2.462,2.465,102187.0
2026-06-10 01:45:00,2.466,2.478,2.463,2.473,84022.0
2026-06-10 02:00:00,2.473,2.478,2.462,2.463,206231.0
2026-06-10 02:15:00,2.463,2.464,2.453,2.461,144493.0
2026-06-10 02:30:00,2.461,2.462,2.447,2.45,126133.0
2026-06-10 02:45:00,2.45,2.457,2.444,2.453,104268.0
2026-06-10 03:00:00,2.452,2.467,2.45,2.456,115555.0
2026-06-10 03:15:00,2.455,2.469,2.452,2.468,87313.0
2026-06-10 03:30:00,2.468,2.469,2.459,2.465,60223.0
2026-06-10 03:45:00,2.464,2.468,2.46,2.464,61511.0
2026-06-10 04:00:00,2.464,2.466,2.455,2.457,95341.0
2026-06-10 04:15:00,2.457,2.464,2.455,2.457,50701.0
2026-06-10 04:30:00,2.456,2.457,2.442,2.446,106451.0
2026-06-10 04:45:00,2.446,2.451,2.444,2.448,67072.0
2026-06-10 05:00:00,2.448,2.451,2.443,2.445,78379.0
2026-06-10 05:15:00,2.446,2.449,2.435,2.449,127820.0
2026-06-10 05:30:00,2.45,2.452,2.439,2.445,86404.0
2026-06-10 05:45:00,2.445,2.45,2.439,2.446,94430.0
2026-06-10 06:00:00,2.446,2.448,2.442,2.445,80274.0
2026-06-10 06:15:00,2.445,2.451,2.444,2.445,123103.0
2026-06-10 06:30:00,2.446,2.455,2.435,2.452,120651.0
2026-06-10 06:45:00,2.453,2.455,2.449,2.449,93427.0
2026-06-10 07:00:00,2.449,2.457,2.447,2.45,72048.0
2026-06-10 07:15:00,2.451,2.465,2.45,2.459,207358.0
2026-06-10 07:30:00,2.459,2.47,2.457,2.465,119692.0
2026-06-10 07:45:00,2.465,2.467,2.46,2.463,148186.0
2026-06-10 08:00:00,2.463,2.463,2.446,2.451,165876.0
2026-06-10 08:15:00,2.451,2.462,2.445,2.448,101717.0
2026-06-10 08:30:00,2.448,2.454,2.437,2.438,154031.0
2026-06-10 08:45:00,2.437,2.446,2.435,2.441,192943.0
2026-06-10 09:00:00,2.442,2.447,2.436,2.438,143162.0
2026-06-10 09:15:00,2.438,2.446,2.423,2.444,341733.0
2026-06-10 09:30:00,2.444,2.45,2.441,2.445,107048.0
2026-06-10 09:45:00,2.446,2.456,2.439,2.451,76157.0
2026-06-10 10:00:00,2.45,2.452,2.44,2.448,90324.0
2026-06-10 10:15:00,2.448,2.45,2.438,2.45,96888.0
2026-06-10 10:30:00,2.45,2.457,2.446,2.449,73312.0
2026-06-10 10:45:00,2.449,2.456,2.449,2.454,65106.0
2026-06-10 11:00:00,2.455,2.458,2.428,2.444,595755.0
2026-06-10 11:15:00,2.444,2.445,2.42,2.427,312628.0
2026-06-10 11:30:00,2.428,2.435,2.424,2.432,188348.0
2026-06-10 11:45:00,2.432,2.44,2.43,2.433,100318.0
2026-06-10 12:00:00,2.433,2.442,2.421,2.437,336323.0
2026-06-10 12:15:00,2.437,2.442,2.428,2.438,145253.0
2026-06-10 12:30:00,2.438,2.482,2.433,2.468,1066522.0
2026-06-10 12:45:00,2.469,2.478,2.466,2.466,155635.0
2026-06-10 13:00:00,2.466,2.475,2.464,2.471,183854.0
2026-06-10 13:15:00,2.472,2.474,2.464,2.473,85603.0
2026-06-10 13:30:00,2.472,2.515,2.469,2.514,537098.0
2026-06-10 13:45:00,2.515,2.516,2.491,2.495,266387.0
2026-06-10 14:00:00,2.495,2.503,2.486,2.49,253045.0
2026-06-10 14:15:00,2.489,2.495,2.477,2.486,275397.0
2026-06-10 14:30:00,2.486,2.493,2.473,2.482,118907.0
2026-06-10 14:45:00,2.482,2.489,2.47,2.489,174084.0
2026-06-10 15:00:00,2.489,2.5,2.473,2.478,367934.0
2026-06-10 15:15:00,2.478,2.502,2.473,2.496,155539.0
2026-06-10 15:30:00,2.496,2.504,2.49,2.502,224271.0
2026-06-10 15:45:00,2.502,2.507,2.471,2.5,633857.0
2026-06-10 16:00:00,2.5,2.503,2.484,2.485,228767.0
2026-06-10 16:15:00,2.485,2.494,2.469,2.473,473156.0
2026-06-10 16:30:00,2.473,2.487,2.47,2.474,630178.0
2026-06-10 16:45:00,2.473,2.476,2.453,2.466,410062.0
2026-06-10 17:00:00,2.467,2.478,2.458,2.466,323330.0
2026-06-10 17:15:00,2.466,2.473,2.443,2.443,250302.0
2026-06-10 17:30:00,2.444,2.452,2.432,2.434,790512.0
2026-06-10 17:45:00,2.435,2.451,2.432,2.44,356568.0
2026-06-10 18:00:00,2.44,2.445,2.427,2.428,354833.0
2026-06-10 18:15:00,2.429,2.431,2.417,2.429,246875.0
2026-06-10 18:30:00,2.429,2.429,2.399,2.404,422583.0
2026-06-10 18:45:00,2.403,2.409,2.396,2.405,347156.0
2026-06-10 19:00:00,2.405,2.409,2.396,2.397,311063.0
2026-06-10 19:15:00,2.398,2.413,2.393,2.404,255377.0
2026-06-10 19:30:00,2.404,2.407,2.396,2.399,213340.0
2026-06-10 19:45:00,2.399,2.404,2.391,2.398,320829.0
2026-06-10 20:00:00,2.398,2.402,2.393,2.398,242952.0
2026-06-10 20:15:00,2.398,2.408,2.394,2.397,147859.0
2026-06-10 20:30:00,2.397,2.404,2.394,2.4,165903.0
2026-06-10 20:45:00,2.4,2.401,2.366,2.391,1047714.0
2026-06-10 21:00:00,2.391,2.393,2.375,2.376,299972.0
2026-06-10 21:15:00,2.377,2.387,2.377,2.384,97759.0
2026-06-10 21:30:00,2.384,2.397,2.384,2.394,95013.0
2026-06-10 21:45:00,2.395,2.397,2.366,2.379,163100.0
2026-06-10 22:00:00,2.379,2.382,2.368,2.377,96824.0
2026-06-10 22:15:00,2.377,2.378,2.365,2.366,203145.0
2026-06-10 22:30:00,2.365,2.388,2.365,2.379,215436.0
2026-06-10 22:45:00,2.379,2.382,2.374,2.374,91202.0
2026-06-10 23:00:00,2.375,2.378,2.368,2.372,139570.0
2026-06-10 23:15:00,2.371,2.394,2.366,2.393,185787.0
2026-06-10 23:30:00,2.393,2.399,2.387,2.397,104259.0
2026-06-10 23:45:00,2.398,2.4,2.392,2.394,136038.0
2026-06-11 00:00:00,2.394,2.407,2.393,2.406,128292.0
2026-06-11 00:15:00,2.406,2.417,2.404,2.41,167428.0
2026-06-11 00:30:00,2.409,2.414,2.398,2.404,119945.0
2026-06-11 00:45:00,2.404,2.411,2.4,2.407,54740.0
2026-06-11 01:00:00,2.407,2.427,2.407,2.424,195851.0
2026-06-11 01:15:00,2.423,2.426,2.417,2.419,88047.0
2026-06-11 01:30:00,2.42,2.436,2.414,2.427,136344.0
2026-06-11 01:45:00,2.427,2.432,2.425,2.427,80275.0
2026-06-11 02:00:00,2.428,2.43,2.423,2.426,63784.0
2026-06-11 02:15:00,2.427,2.432,2.421,2.423,75645.0
