Open_time,Open,High,Low,Close,Volume
2021-08-01,331.11,448.44,300.26,391.7,4767324.3634
2021-09-01,391.7,425.7,252.0,276.3,4754956.1176
2021-10-01,276.4,459.0,270.8,314.2,4691554.0021
2021-11-01,314.3,349.9,218.3,256.7,3907678.372
2021-12-01,256.8,296.8,157.6,253.9,5921074.7714
2022-01-01,253.9,286.4,131.1,157.5,5091983.3805
2022-02-01,157.5,192.7,112.4,145.8,3173902.2427
2022-03-01,145.8,242.3,113.3,207.1,6804899.376
2022-04-01,207.0,261.2,137.8,142.3,6509613.461
2022-05-01,142.3,162.2,64.8,112.9,9727796.3361
2022-06-01,112.9,121.0,45.6,57.0,8666097.0451
2022-07-01,57.0,109.6,54.7,97.6,9756751.445
2022-08-01,97.6,115.8,78.0,84.8,5668178.389
2022-09-01,84.8,97.0,70.4,74.6,3752771.249
2022-10-01,74.6,90.1,64.7,83.9,2849136.174
2022-11-01,83.9,98.4,50.2,65.3,7494100.673
2022-12-01,65.3,67.3,51.4,52.0,2502483.678
2023-01-01,52.0,91.3,51.1,82.9,5529702.168
2023-02-01,82.9,95.5,73.6,77.7,4534286.139
2023-03-01,77.6,83.2,63.9,74.2,3046448.293
2023-04-01,74.2,84.5,65.9,70.2,2006742.365
2023-05-01,70.2,74.3,60.1,63.8,1482871.497
2023-06-01,63.8,76.9,47.3,70.54,5034585.435
2023-07-01,70.54,88.0,63.94,65.37,5858008.563
2023-08-01,65.38,69.56,50.0,55.56,3284010.239
2023-09-01,55.57,68.68,51.39,67.56,2231227.172
2023-10-01,67.56,90.9,61.06,81.44,5301822.254
2023-11-01,81.39,110.0,80.67,98.26,7472195.303
2023-12-01,98.29,129.88,87.0,108.69,7785765.456
2024-01-01,108.68,120.0,84.25,85.88,4372312.482
2024-02-01,85.87,114.88,81.45,105.78,6129476.773
2024-03-01,105.79,153.72,93.86,128.31,6936355.925
2024-04-01,128.32,133.94,70.0,83.42,5012778.275
2024-05-01,83.42,114.72,78.52,103.81,3299822.277
2024-06-01,103.79,105.59,74.8,97.43,3631035.546
2024-07-01,97.45,112.33,71.06,107.52,4456578.371
2024-08-01,107.52,148.77,76.15,129.71,10534994.754
2024-09-01,129.68,180.74,116.0,156.73,8928891.459
2024-10-01,156.76,165.84,132.0,143.51,4561534.416
2024-11-01,143.51,213.11,125.73,211.77,8999935.526
2024-12-01,211.88,399.85,202.73,308.82,13686265.022
2025-01-01,308.82,378.49,256.18,332.71,7876014.434
2025-02-01,332.68,333.54,178.21,192.25,6849032.956
2025-03-01,192.25,241.83,151.86,159.59,7585243.674
2025-04-01,159.62,179.39,114.05,164.19,5869935.966
2025-05-01,164.18,282.84,163.26,247.09,6439096.181
2025-06-01,247.1,325.41,213.0,274.48,5737233.548
2025-07-01,274.5,337.98,257.37,260.99,5516073.724
2025-08-01,260.99,385.99,245.0,315.69,5026152.306
2025-09-01,315.69,331.83,248.68,274.39,3148891.012
2025-10-01,274.4,302.19,79.51,228.45,4569038.859
2025-11-01,228.45,237.07,147.13,177.46,5415105.857
2025-12-01,177.46,207.16,143.63,146.02,3438478.77
2026-01-01,146.02,180.37,115.66,129.05,2764047.032
2026-02-01,129.05,131.98,92.25,111.94,4127604.898
2026-03-01,111.94,126.96,92.74,98.2,3053074.683
2026-04-01,98.21,118.87,85.05,92.87,5980199.233
2026-05-01,92.88,103.51,78.09,82.16,4413477.702
2026-06-01,82.16,99.22,57.83,85.17,6679902.2
2026-07-01,85.17,99.24,82.7,98.82,2036397.918
