Open_time,Open,High,Low,Close,Volume
2021-08-01,1.3193,2.9719,1.2613,2.767,11444421964.13
2021-09-01,2.768,3.101,1.9101,2.115,8927152050.97
2021-10-01,2.115,2.375,1.804,1.964,4723845901.5
2021-11-01,1.965,2.378,1.416,1.554,5739631243.14
2021-12-01,1.553,1.76,1.182,1.308,5964130803.34
2022-01-01,1.308,1.638,0.917,1.051,6651504867.04
2022-02-01,1.052,1.263,0.746,0.962,4965234001.96
2022-03-01,0.962,1.246,0.776,1.141,4660687892.6
2022-04-01,1.141,1.245,0.7351,0.7556,3276695100.64
2022-05-01,0.7555,0.9058,0.4019,0.6268,8141243478.3
2022-06-01,0.6266,0.6696,0.4206,0.4599,8816086054.0
2022-07-01,0.4599,0.556,0.4023,0.5161,6516727657.1
2022-08-01,0.5161,0.5948,0.4236,0.4462,5094031038.7
2022-09-01,0.4461,0.5242,0.4251,0.4347,4569390707.3
2022-10-01,0.4346,0.44,0.33,0.4055,3601087124.89
2022-11-01,0.4055,0.4378,0.2953,0.3187,4250020234.29
2022-12-01,0.3186,0.329,0.2392,0.2458,2502015499.56
2023-01-01,0.2458,0.3998,0.2434,0.3902,4678982124.6
2023-02-01,0.3902,0.4213,0.345,0.3517,3098518378.4
2023-03-01,0.3518,0.4093,0.2976,0.3989,4849487251.8
2023-04-01,0.3989,0.4617,0.3708,0.3956,3663539487.8
2023-05-01,0.3957,0.3979,0.3485,0.3744,2215678148.4
2023-06-01,0.3744,0.3819,0.22,0.2869,4378865084.9
2023-07-01,0.287,0.3793,0.2761,0.307,3648109433.2
2023-08-01,0.307,0.312,0.238,0.2554,2248897745.0
2023-09-01,0.2554,0.2612,0.2367,0.254,1492996962.7
2023-10-01,0.254,0.3046,0.2394,0.293,2104665657.5
2023-11-01,0.2929,0.4095,0.2839,0.3759,4063604104.5
2023-12-01,0.376,0.68,0.3736,0.594,7373282495.4
2024-01-01,0.5939,0.637,0.4477,0.4976,4061889400.3
2024-02-01,0.4976,0.7088,0.4727,0.6547,4654441737.3
2024-03-01,0.6549,0.8104,0.5689,0.6501,6697017776.5
2024-04-01,0.6501,0.6515,0.3994,0.4412,4766555892.8
2024-05-01,0.4412,0.5106,0.4184,0.447,2806374388.6
2024-06-01,0.447,0.49,0.3575,0.3924,2666882675.5
2024-07-01,0.3925,0.457,0.3165,0.3882,3119698629.1
2024-08-01,0.3881,0.4014,0.2756,0.345,2950503401.2
2024-09-01,0.3451,0.4158,0.3034,0.3733,2235517044.0
2024-10-01,0.3733,0.386,0.3141,0.3418,2442636318.6
2024-11-01,0.3417,1.1542,0.3201,1.079,14335754794.4
2024-12-01,1.079,1.3264,0.762,0.8451,9626246233.1
2025-01-01,0.845,1.1662,0.838,0.9429,7221507848.9
2025-02-01,0.9428,0.9576,0.506,0.6328,6146870882.7
2025-03-01,0.6328,1.1747,0.6252,0.6618,10329823349.1
2025-04-01,0.6618,0.746,0.511,0.6816,4160784660.4
2025-05-01,0.6816,0.8643,0.6426,0.6858,4100043659.2
2025-06-01,0.6858,0.7315,0.51,0.5722,3289801379.2
2025-07-01,0.5722,0.9373,0.5366,0.7392,5797010241.9
2025-08-01,0.7392,1.0193,0.6842,0.8113,6857448763.9
2025-09-01,0.8112,0.954,0.7542,0.8072,3614427952.5
2025-10-01,0.8073,0.8924,0.2737,0.6091,5344787241.8
2025-11-01,0.6091,0.6189,0.3876,0.4143,4395184136.7
2025-12-01,0.4142,0.4842,0.3294,0.3335,3742216183.9
2026-01-01,0.3336,0.4374,0.2685,0.2936,4028269902.7
2026-02-01,0.2937,0.3136,0.2205,0.281,5021922388.1
2026-03-01,0.281,0.2955,0.2328,0.2418,4415639386.7
2026-04-01,0.2418,0.268,0.2348,0.2463,3689424282.2
2026-05-01,0.2463,0.2887,0.228,0.2357,3102700416.2
2026-06-01,0.2357,0.2376,0.1382,0.1444,5578811151.4
2026-07-01,0.1444,0.2,0.142,0.1679,1921529051.3
