Open_time,Open,High,Low,Close,Volume
2021-08-01,545.8,714.76,512.0,636.6,3681604.94779
2021-09-01,636.8,803.6,471.3,502.6,3663191.86966
2021-10-01,502.8,655.9,500.3,596.9,2931210.323
2021-11-01,596.9,731.4,530.8,570.4,3255189.352
2021-12-01,570.4,586.7,344.1,430.2,2724967.52727
2022-01-01,430.3,452.4,259.6,285.0,2344004.70306
2022-02-01,284.9,362.7,259.6,339.0,2216831.25
2022-03-01,339.0,391.2,270.0,384.3,2185543.215
2022-04-01,384.0,389.4,267.3,277.7,1543834.73
2022-05-01,277.8,302.6,156.8,204.6,3850752.7375
2022-06-01,204.7,211.3,97.2,103.2,4934024.89413
2022-07-01,103.2,165.5,95.2,139.3,4259952.556
2022-08-01,139.3,148.8,110.8,115.2,3112511.548
2022-09-01,115.0,140.2,106.4,120.1,3225972.891
2022-10-01,120.0,123.8,101.8,115.0,1667662.731
2022-11-01,115.0,126.0,87.0,113.5,2915282.47522
2022-12-01,113.5,117.0,95.1,97.0,1257517.858
2023-01-01,97.0,138.7,95.5,133.3,2105024.394
2023-02-01,133.3,154.4,119.7,132.0,1491970.604
2023-03-01,132.0,140.0,105.1,123.9,1623090.988
2023-04-01,123.9,136.1,111.5,117.7,1276346.334
2023-05-01,117.6,124.7,107.0,113.2,1227287.184
2023-06-01,113.3,329.0,90.3,304.2,8872844.03
2023-07-01,304.2,310.8,231.5,247.9,7720853.432
2023-08-01,247.9,249.6,165.4,207.6,4662246.621
2023-09-01,207.6,245.8,180.5,233.9,3548433.324
2023-10-01,233.9,269.9,206.3,244.9,3322184.261
2023-11-01,244.9,257.8,212.0,221.4,2264875.398
2023-12-01,221.4,288.0,210.1,259.7,3604700.755
2024-01-01,259.7,298.6,211.3,234.3,3102985.291
2024-02-01,234.2,323.5,230.4,297.6,3715161.2
2024-03-01,297.7,693.0,296.8,678.7,8920239.487
2024-04-01,678.8,719.5,420.6,434.1,6048460.158
2024-05-01,434.1,530.1,400.0,454.8,1919032.435
2024-06-01,454.9,520.9,343.9,394.0,1447088.011
2024-07-01,394.0,459.2,288.4,413.9,1883757.166
2024-08-01,413.9,423.5,272.7,322.4,1966765.511
2024-09-01,322.3,364.6,286.0,337.2,1167853.508
2024-10-01,337.3,389.4,307.8,358.9,1725538.42
2024-11-01,358.8,568.5,322.0,525.9,4368276.898
2024-12-01,526.1,640.0,390.5,434.5,3726202.952
2025-01-01,434.5,500.6,396.1,424.2,1654494.763
2025-02-01,424.3,431.5,269.8,315.8,1549361.17
2025-03-01,315.9,420.0,289.8,303.5,2646968.031
2025-04-01,303.5,384.9,249.4,366.1,1698495.283
2025-05-01,366.1,462.0,349.2,415.0,1627783.085
2025-06-01,415.1,522.4,377.5,505.7,1865444.708
2025-07-01,505.8,608.2,468.8,561.5,2215069.82
2025-08-01,561.4,634.3,514.5,544.2,1635479.037
2025-09-01,544.2,651.0,530.0,560.6,1516040.269
2025-10-01,560.6,615.3,443.2,535.1,1992520.792
2025-11-01,535.1,568.1,446.9,540.8,2211386.991
2025-12-01,540.7,638.0,508.8,599.5,1861929.589
2026-01-01,599.6,669.6,467.2,507.5,1920087.997
2026-02-01,507.6,586.2,423.0,457.6,1341609.933
2026-03-01,457.6,486.3,432.0,466.5,829480.027
2026-04-01,466.5,474.0,419.5,440.9,447176.593
2026-05-01,441.0,489.3,287.8,302.9,967536.991
2026-06-01,302.8,304.8,181.0,200.0,2093331.357
2026-07-01,200.1,255.1,196.0,248.7,369243.369
