Open_time,Open,High,Low,Close,Volume
2021-08-01,22.722,30.51,21.401,26.7,201293982.451
2021-09-01,26.7,36.33,20.82,24.0,260576366.035
2021-10-01,24.0,33.91,23.53,30.0,187045560.0
2021-11-01,30.0,38.31,22.63,25.31,167335057.195
2021-12-01,25.31,26.9,15.32,19.51,205597009.376
2022-01-01,19.52,28.71,13.48,17.15,320269861.092
2022-02-01,17.15,19.54,11.4,15.13,149356245.19
2022-03-01,15.12,18.05,12.42,16.91,144357267.59
2022-04-01,16.91,18.32,10.65,10.95,88256871.04
2022-05-01,10.96,12.29,5.53,7.59,202745264.631
2022-06-01,7.59,9.64,5.3,6.27,309490676.0
2022-07-01,6.27,8.21,5.7,7.651,193271151.75
2022-08-01,7.652,9.5,6.2,6.627,155006184.52
2022-09-01,6.627,8.54,6.445,7.585,192725419.87
2022-10-01,7.584,8.333,6.306,7.857,125032381.5
2022-11-01,7.854,9.47,5.528,7.672,298886061.35
2022-12-01,7.673,7.812,5.387,5.575,112768323.68
2023-01-01,5.575,7.518,5.505,6.952,151275249.97
2023-02-01,6.952,8.4,6.4,7.195,173504497.31
2023-03-01,7.196,7.723,5.89,7.588,162155567.08
2023-04-01,7.588,8.798,6.703,7.025,135590009.95
2023-05-01,7.025,7.28,6.164,6.478,74587847.59
2023-06-01,6.478,6.532,4.761,6.313,109473421.28
2023-07-01,6.313,8.464,6.012,7.547,146006402.47
2023-08-01,7.55,7.919,5.6,5.879,107751358.82
2023-09-01,5.878,8.276,5.737,8.191,114048163.28
2023-10-01,8.19,12.026,7.1,11.353,228888752.91
2023-11-01,11.352,16.6,10.5,14.412,264700440.57
2023-12-01,14.411,17.672,13.633,14.941,213714242.38
2024-01-01,14.942,16.61,12.2,15.429,181219259.11
2024-02-01,15.427,20.87,15.147,19.274,196037560.96
2024-03-01,19.274,22.868,16.244,19.171,190752213.31
2024-04-01,19.17,19.275,11.788,13.129,131619493.97
2024-05-01,13.128,19.22,12.35,18.414,119405266.94
2024-06-01,18.411,18.686,12.63,14.281,70655608.9
2024-07-01,14.279,15.196,11.053,12.83,76723505.21
2024-08-01,12.82,13.1,8.08,11.02,76826417.06
2024-09-01,11.02,12.98,9.28,11.85,59170853.74
2024-10-01,11.85,12.47,10.25,11.41,75610232.46
2024-11-01,11.41,19.441,10.07,19.0,178852510.23
2024-12-01,19.0,30.94,18.43,20.01,326618631.07
2025-01-01,20.02,27.21,17.83,25.17,201213153.84
2025-02-01,25.16,25.99,13.45,14.81,157657174.06
2025-03-01,14.81,17.67,11.85,13.51,151967573.19
2025-04-01,13.5,15.36,10.1,14.3,110454466.61
2025-05-01,14.3,17.98,13.2,13.97,118317175.06
2025-06-01,13.97,15.66,10.94,13.38,84685199.04
2025-07-01,13.37,20.28,12.73,16.92,118216857.39
2025-08-01,16.93,27.87,15.43,23.2,248380845.34
2025-09-01,23.2,25.64,19.82,21.3,114492414.29
2025-10-01,21.31,23.73,7.9,17.24,168950026.65
2025-11-01,17.24,17.66,11.61,12.95,139854230.45
2025-12-01,12.95,15.01,11.74,12.21,89879940.49
2026-01-01,12.2,14.4,8.97,9.99,85676783.57
2026-02-01,9.99,10.08,7.15,8.85,113302380.04
2026-03-01,8.85,10.08,8.2,8.78,97437304.53
2026-04-01,8.78,9.87,8.42,9.11,73562170.83
2026-05-01,9.11,10.87,8.762,9.148,86276982.45
2026-06-01,9.15,9.214,6.996,7.201,74750705.64
2026-07-01,7.202,8.176,7.076,8.028,16035751.66
