Open_time,Open,High,Low,Close,Volume
2021-07-19,15.475,17.132,13.384,16.746,43216407.894
2021-07-26,16.745,23.94,16.662,22.062,63559246.414
2021-08-02,22.065,25.157,21.401,23.029,50892360.155
2021-08-09,23.026,27.983,22.072,27.901,42074192.575
2021-08-16,27.901,30.51,24.479,27.982,51848796.17
2021-08-23,27.981,29.3,23.88,25.76,35561782.135
2021-08-30,25.77,33.61,24.3,33.55,44540295.287
2021-09-06,33.54,36.33,23.79,29.42,78940836.514
2021-09-13,29.42,32.11,25.17,27.36,58774686.29
2021-09-20,27.37,27.43,20.82,24.6,67620474.213
2021-09-27,24.59,28.16,22.0,27.57,40055989.51
2021-10-04,27.56,28.19,25.2,25.56,37280101.73
2021-10-11,25.55,28.7,23.53,26.54,42073680.82
2021-10-18,26.54,31.53,25.26,29.7,43769781.11
2021-10-25,29.71,33.91,27.91,30.0,46754287.64
2021-11-01,30.0,33.71,29.14,32.34,32317434.48
2021-11-08,32.34,38.31,31.9,33.75,45183448.835
2021-11-15,33.75,34.5,25.82,28.98,40017542.86
2021-11-22,29.0,29.09,22.63,24.76,39276931.08
2021-11-29,24.76,26.9,15.32,19.48,53054864.546
2021-12-06,19.49,23.2,17.21,20.41,51869164.8
2021-12-13,20.41,20.56,17.26,18.86,40411783.28
2021-12-20,18.86,23.58,18.04,22.98,36714721.63
2021-12-27,22.99,24.49,19.04,21.87,42654436.28
2022-01-03,21.86,28.68,21.25,27.54,116442862.07
2022-01-10,27.54,28.71,23.91,25.5,65270932.21
2022-01-17,25.51,25.62,14.24,16.64,63763653.943
2022-01-24,16.63,18.1,13.48,17.77,58528708.069
2022-01-31,17.76,18.32,15.26,18.07,37637905.3
2022-02-07,18.06,19.54,15.52,15.6,33687319.88
2022-02-14,15.61,17.45,14.39,14.6,27221221.02
2022-02-21,14.61,15.31,11.4,13.64,51939966.15
2022-02-28,13.64,15.87,13.25,13.32,36212349.71
2022-03-07,13.31,14.46,12.42,12.7,36001895.49
2022-03-14,12.71,15.4,12.6,14.54,29387074.58
2022-03-21,14.54,16.91,14.3,16.87,28268684.44
2022-03-28,16.86,18.32,16.16,18.08,32639437.37
2022-04-04,18.07,18.08,15.01,15.24,18945051.32
2022-04-11,15.23,15.28,13.33,13.73,17738146.92
2022-04-18,13.72,14.5,13.14,13.26,18286731.39
2022-04-25,13.27,13.51,10.65,11.31,25720147.8
2022-05-02,11.3,12.29,9.84,10.0,30896660.247
2022-05-09,10.0,10.16,5.53,7.96,84897717.574
2022-05-16,7.97,7.98,6.64,7.33,37329806.84
2022-05-23,7.32,7.81,6.2,6.71,34380679.3
2022-05-30,6.72,7.89,6.65,7.64,33454187.02
2022-06-06,7.64,9.64,6.25,6.27,78549446.39
2022-06-13,6.26,7.51,5.3,6.6,125350638.85
2022-06-20,6.6,7.57,6.31,6.7,52534334.65
2022-06-27,6.7,7.26,5.88,6.22,42913762.39
2022-07-04,6.22,6.84,6.02,6.2,30943193.88
2022-07-11,6.2,6.715,5.7,6.347,44704282.35
2022-07-18,6.347,7.581,6.329,7.094,54271216.39
2022-07-25,7.093,8.21,6.077,7.651,51261062.53
2022-08-01,7.652,8.375,7.02,8.343,33427403.35
2022-08-08,8.343,9.5,8.224,8.765,49030025.35
2022-08-15,8.768,9.057,6.66,7.082,34805015.93
2022-08-22,7.083,7.376,6.226,6.255,26975279.02
2022-08-29,6.255,7.278,6.2,7.156,23818960.84
2022-09-05,7.153,8.173,6.57,8.028,38964089.23
2022-09-12,8.029,8.3,6.982,7.523,43861693.66
2022-09-19,7.524,8.078,6.519,7.865,49097544.52
2022-09-26,7.866,8.54,7.09,7.11,55288358.85
2022-10-03,7.111,7.943,7.01,7.63,29464524.29
2022-10-10,7.628,7.733,6.306,7.173,26000094.74
2022-10-17,7.167,7.374,6.444,7.066,20718202.43
2022-10-24,7.067,7.932,6.791,7.782,32836204.71
2022-10-31,7.783,9.008,7.338,8.101,52282893.53
2022-11-07,8.101,9.47,5.775,6.078,123450762.8
2022-11-14,6.077,6.672,5.69,5.768,45505848.6
2022-11-21,5.767,7.299,5.528,6.902,55155309.99
2022-11-28,6.904,7.812,6.53,7.444,50757599.44
2022-12-05,7.442,7.594,6.646,6.7,26850353.18
2022-12-12,6.698,7.101,5.778,5.949,31651652.97
2022-12-19,5.95,6.12,5.671,5.99,17602954.09
2022-12-26,5.989,6.068,5.387,5.628,18341670.07
2023-01-02,5.63,5.977,5.523,5.963,18474232.48
2023-01-09,5.965,7.107,5.931,6.694,39116761.78
2023-01-16,6.694,7.271,6.256,6.984,42391724.14
2023-01-23,6.983,7.518,6.51,7.372,41473250.31
2023-01-30,7.373,7.484,6.67,6.985,30635728.19
2023-02-06,6.985,7.817,6.685,6.808,43944317.79
2023-02-13,6.81,8.289,6.4,8.014,52097386.55
2023-02-20,8.01,8.4,7.168,7.497,47139283.85
2023-02-27,7.494,7.585,6.655,6.945,24676949.32
2023-03-06,6.946,6.981,5.89,6.551,32803199.74
2023-03-13,6.552,7.299,6.379,7.081,43278886.15
2023-03-20,7.081,7.723,6.838,7.261,43381831.48
2023-03-27,7.26,7.69,6.747,7.255,31390989.41
2023-04-03,7.255,7.606,7.022,7.203,22352356.82
2023-04-10,7.203,8.19,7.1,8.14,30266723.22
2023-04-17,8.136,8.798,6.866,7.082,48677936.42
2023-04-24,7.082,7.503,6.703,7.025,28955695.99
2023-05-01,7.025,7.28,6.797,6.911,17534677.41
2023-05-08,6.911,6.913,6.212,6.547,22024072.64
2023-05-15,6.547,6.812,6.356,6.43,13658359.49
2023-05-22,6.43,6.659,6.164,6.631,14134319.56
2023-05-29,6.636,6.678,6.306,6.452,13625608.14
2023-06-05,6.45,6.492,4.761,5.175,30381359.73
2023-06-12,5.175,5.507,5.003,5.156,17947130.91
2023-06-19,5.157,6.378,4.993,6.157,30550231.38
2023-06-26,6.157,6.565,5.703,6.54,33433909.93
2023-07-03,6.541,6.692,6.012,6.15,17148478.7
2023-07-10,6.149,7.343,6.02,6.607,23701623.89
2023-07-17,6.608,8.464,6.45,7.89,63778965.47
2023-07-24,7.89,8.145,7.275,7.555,28691893.86
2023-07-31,7.555,7.716,7.007,7.102,21299373.62
2023-08-07,7.101,7.919,6.94,7.369,21122713.34
2023-08-14,7.368,7.636,5.6,6.22,32739006.13
2023-08-21,6.22,6.435,5.865,6.03,19692856.52
2023-08-28,6.029,6.318,5.73,6.027,23078952.96
2023-09-04,6.03,6.47,5.906,6.015,19579669.03
2023-09-11,6.016,6.421,5.737,6.146,19737164.42
2023-09-18,6.146,7.25,6.099,6.972,34825107.51
2023-09-25,6.972,8.276,6.908,8.054,38923249.0
2023-10-02,8.053,8.103,7.2,7.673,32087596.9
2023-10-09,7.671,7.696,7.1,7.423,23909467.72
2023-10-16,7.422,10.288,7.215,10.19,50648284.57
2023-10-23,10.189,11.788,9.661,11.081,94570379.08
2023-10-30,11.085,12.559,10.5,12.231,66553628.58
2023-11-06,12.231,16.6,12.118,16.025,87699754.86
2023-11-13,16.025,16.3,12.853,14.908,68392763.0
2023-11-20,14.911,15.393,13.24,14.766,43200857.06
2023-11-27,14.768,16.29,13.765,15.705,36367430.93
