Open_time,Open,High,Low,Close,Volume
2021-08-01,2.4023,6.5961,2.2208,5.277,338560412.12
2021-09-01,5.276,11.88,5.117,6.927,597879492.66
2021-10-01,6.924,13.23,6.766,10.157,336798386.17
2021-11-01,10.158,12.657,7.53,8.743,220652178.8
2021-12-01,8.75,17.95,6.123,14.625,479433880.33
2022-01-01,14.619,20.597,9.509,11.12,471510150.02
2022-02-01,11.122,14.083,7.385,9.759,241269480.6
2022-03-01,9.757,14.712,9.321,13.302,334613623.1
2022-04-01,13.301,19.788,10.1,10.336,512960199.6
2022-05-01,10.335,13.195,4.675,5.957,597245259.7
2022-06-01,5.956,5.994,2.875,3.338,426414258.42
2022-07-01,3.338,4.759,3.038,4.231,371824072.8
2022-08-01,4.231,6.111,3.692,4.374,428457607.6
2022-09-01,4.373,5.278,3.446,3.559,308708658.5
2022-10-01,3.559,3.764,2.726,3.106,219037678.8
2022-11-01,3.105,3.443,1.432,1.723,441538507.65
2022-12-01,1.723,1.83,1.229,1.256,251714588.7
2023-01-01,1.256,2.72,1.239,2.328,608359278.5
2023-02-01,2.327,2.846,2.089,2.23,429549962.8
2023-03-01,2.23,2.368,1.669,1.99,355381455.1
2023-04-01,1.99,2.409,1.779,1.929,258119275.5
2023-05-01,1.929,1.954,1.53,1.566,148792790.9
2023-06-01,1.566,1.659,1.146,1.385,277293094.4
2023-07-01,1.385,1.606,1.286,1.37,208469995.7
2023-08-01,1.371,1.424,1.02,1.156,137120685.58
2023-09-01,1.155,1.187,1.058,1.133,132046484.5
2023-10-01,1.134,1.34,0.971,1.332,210048909.4
2023-11-01,1.332,2.188,1.288,1.879,777546250.6
2023-12-01,1.879,4.625,1.854,3.65,976563522.7
2024-01-01,3.651,4.331,2.45,2.823,574407583.1
2024-02-01,2.823,4.198,2.683,3.877,515438596.4
2024-03-01,3.879,9.01,3.558,7.294,1013810135.4
2024-04-01,7.295,7.7,4.279,6.194,615889932.3
2024-05-01,6.192,8.52,5.726,7.246,407386361.7
2024-06-01,7.247,7.709,4.441,5.304,279658271.4
2024-07-01,5.304,6.489,4.0,4.99,279160818.7
2024-08-01,4.991,5.256,3.076,4.032,333511378.5
2024-09-01,4.032,5.871,3.423,5.288,330820722.4
2024-10-01,5.287,5.565,3.97,4.054,304504262.1
2024-11-01,4.054,7.251,3.506,7.007,632302832.6
2024-12-01,7.007,8.244,4.536,4.913,526684498.4
2025-01-01,4.912,6.232,4.253,4.619,340768606.0
2025-02-01,4.619,4.686,2.701,3.066,430828509.0
2025-03-01,3.067,3.565,2.14,2.509,426135770.4
2025-04-01,2.509,2.74,1.821,2.463,386245596.1
2025-05-01,2.464,3.383,2.223,2.421,375567838.6
2025-06-01,2.421,2.73,1.793,2.148,311494377.6
2025-07-01,2.149,3.101,2.017,2.535,377192256.2
2025-08-01,2.534,3.06,2.301,2.367,354437723.3
2025-09-01,2.366,3.342,2.279,2.629,410873444.7
2025-10-01,2.629,3.228,1.55,2.099,591862414.0
2025-11-01,2.099,3.185,1.72,1.805,836106112.6
2025-12-01,1.805,1.9,1.405,1.514,439366480.2
2026-01-01,1.514,1.894,1.091,1.206,448477442.0
2026-02-01,1.206,1.26,0.841,1.172,570389202.8
2026-03-01,1.172,1.51,1.112,1.189,597082549.9
2026-04-01,1.188,1.443,1.14,1.297,334825124.9
2026-05-01,1.298,2.978,1.245,2.32,894615102.5
2026-06-01,2.321,3.087,1.752,1.782,996820853.6
2026-07-01,1.783,2.116,1.723,1.907,153621479.7
