Open_time,Open,High,Low,Close,Volume
2023-05-01,0.1,2.0,0.1,0.9743,2173031615.1
2023-06-01,0.9746,0.9794,0.51,0.6891,1859795092.1
2023-07-01,0.6888,0.785,0.6,0.632,1041848962.8
2023-08-01,0.632,0.65,0.45,0.5005,1296487810.0
2023-09-01,0.5004,0.5161,0.4185,0.4703,876741294.1
2023-10-01,0.4703,0.5099,0.362,0.4429,1243300890.1
2023-11-01,0.4428,0.6891,0.4251,0.5971,2124319165.3
2023-12-01,0.5971,0.9216,0.5557,0.7752,2207352221.4
2024-01-01,0.7753,1.65,0.68,1.5187,3331639388.7
2024-02-01,1.5186,1.974,1.37,1.6769,1722316375.2
2024-03-01,1.6769,2.1829,1.212,1.9137,2630610814.0
2024-04-01,1.9143,2.0263,0.8856,1.1438,1469090690.0
2024-05-01,1.1434,1.172,0.8851,1.0234,1255118043.3
2024-06-01,1.0233,1.1719,0.753,0.8201,909421401.7
2024-07-01,0.82,0.9024,0.5728,0.7071,842676375.9
2024-08-01,0.7071,1.1174,0.4625,0.7962,2266164205.5
2024-09-01,0.7961,1.85,0.7415,1.7743,3180216970.1
2024-10-01,1.7742,2.368,1.5983,1.9715,3363398560.7
2024-11-01,1.9715,3.9409,1.7715,3.4758,3252223358.8
2024-12-01,3.4759,4.96,3.1783,4.1225,2780709261.5
2025-01-01,4.1226,5.3687,3.4952,4.0891,2222150536.4
2025-02-01,4.0883,4.1195,2.39,2.83,2544262725.7
2025-03-01,2.8301,3.2513,1.9626,2.2674,2094337953.9
2025-04-01,2.2674,3.875,1.7174,3.5053,2613181219.3
2025-05-01,3.5051,4.2989,3.053,3.2457,2415980052.7
2025-06-01,3.2457,3.5597,2.2937,2.7769,1359852805.5
2025-07-01,2.777,4.4436,2.6485,3.614,1806406931.1
2025-08-01,3.6138,4.1811,3.2106,3.2494,1568246116.8
2025-09-01,3.2494,3.9765,3.0685,3.2603,1071303453.7
2025-10-01,3.2603,3.71,0.5597,2.3636,1731332533.4
2025-11-01,2.3636,2.4034,1.3111,1.4969,1618934194.6
2025-12-01,1.4968,1.7911,1.3039,1.4043,1325560871.9
2026-01-01,1.4044,2.0244,1.0328,1.1534,1509268795.0
2026-02-01,1.1534,1.1684,0.7881,0.904,1508512031.3
2026-03-01,0.9039,1.0846,0.8197,0.8784,1165278048.5
2026-04-01,0.8783,1.0432,0.8368,0.9082,778791278.6
2026-05-01,0.9083,1.4223,0.85,0.8954,1906002310.2
2026-06-01,0.8954,0.9036,0.6514,0.6906,1558267382.2
2026-07-01,0.6907,0.7828,0.6778,0.7436,267057088.5
