Open_time,Open,High,Low,Close,Volume
2021-08-01,0.28461,0.41,0.26407,0.3393,4794504816.1
2021-09-01,0.3393,0.432,0.2548,0.2787,4592269113.0
2021-10-01,0.2788,0.4207,0.2753,0.3725,6235181360.0
2021-11-01,0.3725,0.4412,0.3,0.3358,4541077712.6
2021-12-01,0.3359,0.3649,0.2236,0.2665,4439179936.1
2022-01-01,0.2665,0.2976,0.1676,0.1996,3160875257.1
2022-02-01,0.1995,0.2571,0.1617,0.1975,2498628578.8
2022-03-01,0.1975,0.2417,0.1665,0.2283,2635904075.0
2022-04-01,0.2282,0.2404,0.1667,0.1689,2011302097.0
2022-05-01,0.1688,0.1877,0.1042,0.1507,2734524449.8
2022-06-01,0.1505,0.151,0.1001,0.1123,2791663306.0
2022-07-01,0.1123,0.1253,0.099,0.1176,2104202692.0
2022-08-01,0.1176,0.1387,0.1004,0.1043,1807736324.0
2022-09-01,0.1044,0.133,0.0983,0.1146,2707374454.0
2022-10-01,0.1146,0.1297,0.1068,0.1113,2392119494.0
2022-11-01,0.1112,0.1166,0.079,0.0899,2414218314.0
2022-12-01,0.0899,0.0901,0.0702,0.071,1212452907.6
2023-01-01,0.0711,0.0962,0.0706,0.0906,1763428771.0
2023-02-01,0.0907,0.0981,0.0817,0.0871,1719882260.0
2023-03-01,0.0872,0.113,0.0744,0.1122,2734759495.0
2023-04-01,0.1121,0.1146,0.09,0.0944,1466743532.0
2023-05-01,0.0944,0.0947,0.0855,0.0925,971991237.0
2023-06-01,0.0926,0.1181,0.0752,0.1107,1901129760.0
2023-07-01,0.1107,0.1977,0.0949,0.15,6324362351.0
2023-08-01,0.1501,0.1547,0.1053,0.1149,1951385177.0
2023-09-01,0.1148,0.1348,0.1108,0.1123,1714465214.0
2023-10-01,0.1123,0.125,0.101,0.1212,1538280964.0
2023-11-01,0.1212,0.1376,0.1098,0.1183,2437322115.0
2023-12-01,0.1182,0.1385,0.1162,0.129,2335859509.0
2024-01-01,0.1291,0.1334,0.1071,0.11,2000460250.0
2024-02-01,0.1099,0.1283,0.1069,0.122,2185632710.0
2024-03-01,0.1221,0.1627,0.1171,0.1411,6152047364.0
2024-04-01,0.1411,0.1426,0.0913,0.1077,2891876403.0
2024-05-01,0.1077,0.1141,0.101,0.1063,1442121221.0
2024-06-01,0.1063,0.1076,0.0846,0.0913,1408757611.0
2024-07-01,0.0913,0.1125,0.0765,0.1004,1980799275.0
2024-08-01,0.1005,0.1045,0.0757,0.0926,1969291683.0
2024-09-01,0.0926,0.1038,0.0854,0.0985,1236714021.0
2024-10-01,0.0984,0.1008,0.0881,0.0924,1457054923.0
2024-11-01,0.0924,0.6374,0.0893,0.5249,20364030653.9
2024-12-01,0.5249,0.6081,0.3126,0.3327,10421024432.0
2025-01-01,0.3327,0.515,0.3322,0.4142,8355068038.0
2025-02-01,0.4142,0.4205,0.2526,0.2863,3679389819.0
2025-03-01,0.2864,0.3755,0.2268,0.2639,2772109113.0
2025-04-01,0.2639,0.2975,0.2001,0.271,1938263275.0
2025-05-01,0.2711,0.3347,0.252,0.2641,1960222261.0
2025-06-01,0.2641,0.2851,0.2168,0.238,1366544762.0
2025-07-01,0.2381,0.5206,0.2228,0.4009,6531481470.0
2025-08-01,0.401,0.4716,0.3518,0.3528,2949353181.0
2025-09-01,0.3527,0.4143,0.3437,0.364,1718947259.0
2025-10-01,0.3641,0.4141,0.16,0.305,2312598631.0
2025-11-01,0.305,0.3115,0.2169,0.248,1756827968.0
2025-12-01,0.248,0.3,0.1978,0.201,1116890689.0
2026-01-01,0.201,0.2557,0.1655,0.181,1521334257.0
2026-02-01,0.181,0.1858,0.1362,0.159,1851435132.0
2026-03-01,0.159,0.1824,0.1469,0.1673,1364031124.0
2026-04-01,0.1672,0.1847,0.1498,0.1583,1437296668.0
2026-05-01,0.1583,0.2982,0.1395,0.2599,4769871311.0
2026-06-01,0.26,0.2744,0.1688,0.1892,6522631047.0
2026-07-01,0.1892,0.2157,0.1796,0.1918,2891576294.0
