iter	Logloss
0	0.6913953007
1	0.6897830092
2	0.6884885027
3	0.6872783983
4	0.68601862
5	0.6849609015
6	0.6840444279
7	0.6829841615
8	0.6817698577
9	0.6808034826
10	0.6795967749
11	0.6787966799
12	0.6777878124
13	0.6765661186
14	0.6752859638
15	0.6743566507
16	0.6729975439
17	0.6719180223
18	0.6711606426
19	0.670158395
20	0.6693986617
21	0.6688476437
22	0.6680540462
23	0.6676065727
24	0.6667451109
25	0.6656867909
26	0.6648550188
27	0.6635413124
28	0.6627058152
29	0.6618775222
30	0.6611731282
31	0.6605214172
32	0.6594489863
33	0.6586500596
34	0.6575498268
35	0.6567956303
36	0.6563377799
37	0.6555195572
38	0.6546863758
39	0.654055042
40	0.6534070358
41	0.6525807217
42	0.651693402
43	0.6512628161
44	0.6505417001
45	0.6498146044
46	0.6490192253
47	0.6477283281
48	0.6470136652
49	0.6460349719
50	0.6455111701
51	0.6448158967
52	0.6438302401
53	0.6428590833
54	0.6422358588
55	0.641629876
56	0.6408190975
57	0.6401565067
58	0.6395302109
59	0.6385229286
60	0.6377666353
61	0.6370219961
62	0.6363394508
63	0.6356120031
64	0.6349893867
65	0.6341927748
66	0.6336882351
67	0.6329007169
68	0.6323501931
69	0.6311701064
70	0.630491202
71	0.6301263683
72	0.6295949243
73	0.6289581439
74	0.6284343212
75	0.6278962518
76	0.6274058405
77	0.6267760595
78	0.6260963021
79	0.6253107017
80	0.6247393523
81	0.6240763762
82	0.6233802227
83	0.6226459045
84	0.6215299569
85	0.6208639931
86	0.620209208
87	0.6195414578
88	0.6187667513
89	0.618309683
90	0.617956214
91	0.6175127146
92	0.616488001
93	0.6155675364
94	0.6147583123
95	0.6139352095
96	0.613355052
97	0.6128456619
98	0.6122863681
99	0.6116177365
