iter	Passed	Remaining
0	107	10681
1	205	10087
2	300	9721
3	397	9540
4	495	9412
5	589	9230
6	685	9107
7	786	9039
8	885	8957
9	984	8863
10	1083	8769
11	1181	8663
12	1276	8540
13	1373	8436
14	1470	8330
15	1570	8244
16	1665	8131
17	1766	8045
18	1861	7934
19	1955	7820
20	2052	7721
21	2146	7610
22	2247	7525
23	2343	7421
24	2442	7327
25	2539	7226
26	2636	7129
27	2733	7028
28	2834	6939
29	2933	6844
30	3030	6744
31	3127	6646
32	3227	6553
33	3328	6460
34	3427	6366
35	3524	6266
36	3622	6167
37	3716	6064
38	3814	5965
39	3912	5868
40	4009	5770
41	4106	5671
42	4202	5570
43	4299	5472
44	4397	5374
45	4497	5279
46	4593	5180
47	4692	5083
48	4788	4983
49	4883	4883
50	4979	4783
51	5074	4683
52	5173	4587
53	5273	4492
54	5369	4392
55	5468	4296
56	5568	4200
57	5666	4103
58	5764	4006
59	5859	3906
60	5955	3807
61	6055	3711
62	6150	3612
63	6249	3515
64	6347	3418
65	6447	3321
66	6546	3224
67	6641	3125
68	6739	3027
69	6838	2930
70	6940	2834
71	7033	2735
72	7130	2637
73	7224	2538
74	7321	2440
75	7416	2342
76	7515	2244
77	7611	2146
78	7707	2048
79	7805	1951
80	7904	1854
81	8000	1756
82	8097	1658
83	8196	1561
84	8295	1463
85	8389	1365
86	8484	1267
87	8582	1170
88	8679	1072
89	8779	975
90	8875	877
91	8975	780
92	9073	682
93	9177	585
94	9274	488
95	9374	390
96	9472	292
97	9572	195
98	9669	97
99	9771	0
